epoch: 1/50, train_loss:1.88479, val_accuracy: 0.44533
epoch: 2/50, train_loss:1.58847, val_accuracy: 0.59656
epoch: 3/50, train_loss:1.38816, val_accuracy: 0.65200
epoch: 4/50, train_loss:1.24094, val_accuracy: 0.66456
epoch: 5/50, train_loss:1.14557, val_accuracy: 0.67933
epoch: 6/50, train_loss:1.06290, val_accuracy: 0.69122
epoch: 7/50, train_loss:0.99886, val_accuracy: 0.70422
epoch: 8/50, train_loss:0.94805, val_accuracy: 0.71578
epoch: 9/50, train_loss:0.90347, val_accuracy: 0.72556
epoch: 10/50, train_loss:0.87033, val_accuracy: 0.73122
epoch: 11/50, train_loss:0.83998, val_accuracy: 0.73656
epoch: 12/50, train_loss:0.81596, val_accuracy: 0.74044
epoch: 13/50, train_loss:0.79362, val_accuracy: 0.74511
epoch: 14/50, train_loss:0.77223, val_accuracy: 0.74778
epoch: 15/50, train_loss:0.75933, val_accuracy: 0.75144
epoch: 16/50, train_loss:0.74766, val_accuracy: 0.75456
epoch: 17/50, train_loss:0.73439, val_accuracy: 0.75811
epoch: 18/50, train_loss:0.71696, val_accuracy: 0.76067
epoch: 19/50, train_loss:0.70634, val_accuracy: 0.76300
epoch: 20/50, train_loss:0.69744, val_accuracy: 0.76633
epoch: 21/50, train_loss:0.69061, val_accuracy: 0.76911
epoch: 22/50, train_loss:0.68153, val_accuracy: 0.77156
epoch: 23/50, train_loss:0.67009, val_accuracy: 0.77444
epoch: 24/50, train_loss:0.66547, val_accuracy: 0.77756
epoch: 25/50, train_loss:0.65379, val_accuracy: 0.78067
epoch: 26/50, train_loss:0.65073, val_accuracy: 0.78356
epoch: 27/50, train_loss:0.64904, val_accuracy: 0.78556
epoch: 28/50, train_loss:0.63733, val_accuracy: 0.78778
epoch: 29/50, train_loss:0.64157, val_accuracy: 0.78978
epoch: 30/50, train_loss:0.63013, val_accuracy: 0.79167
epoch: 31/50, train_loss:0.63253, val_accuracy: 0.79322
epoch: 32/50, train_loss:0.62741, val_accuracy: 0.79511
epoch: 33/50, train_loss:0.61278, val_accuracy: 0.79689
epoch: 34/50, train_loss:0.61334, val_accuracy: 0.79878
epoch: 35/50, train_loss:0.60907, val_accuracy: 0.80067
epoch: 36/50, train_loss:0.60454, val_accuracy: 0.80244
epoch: 37/50, train_loss:0.59368, val_accuracy: 0.80378
epoch: 38/50, train_loss:0.60178, val_accuracy: 0.80411
epoch: 39/50, train_loss:0.59507, val_accuracy: 0.80533
epoch: 40/50, train_loss:0.58499, val_accuracy: 0.80756
epoch: 41/50, train_loss:0.58735, val_accuracy: 0.80911
epoch: 42/50, train_loss:0.58095, val_accuracy: 0.81122
epoch: 43/50, train_loss:0.57977, val_accuracy: 0.81311
epoch: 44/50, train_loss:0.56790, val_accuracy: 0.81444
epoch: 45/50, train_loss:0.57005, val_accuracy: 0.81567
epoch: 46/50, train_loss:0.56830, val_accuracy: 0.81656
epoch: 47/50, train_loss:0.56765, val_accuracy: 0.81711
epoch: 48/50, train_loss:0.56460, val_accuracy: 0.81844
epoch: 49/50, train_loss:0.55838, val_accuracy: 0.81967
epoch: 50/50, train_loss:0.55594, val_accuracy: 0.82078
