epoch: 1/50, train_loss:0.74861, val_accuracy: 0.83156
epoch: 2/50, train_loss:0.42646, val_accuracy: 0.85778
epoch: 3/50, train_loss:0.37952, val_accuracy: 0.86767
epoch: 4/50, train_loss:0.35366, val_accuracy: 0.87867
epoch: 5/50, train_loss:0.33323, val_accuracy: 0.87200
epoch: 6/50, train_loss:0.31961, val_accuracy: 0.87544
epoch: 7/50, train_loss:0.30587, val_accuracy: 0.88278
epoch: 8/50, train_loss:0.29344, val_accuracy: 0.88189
epoch: 9/50, train_loss:0.28471, val_accuracy: 0.89022
epoch: 10/50, train_loss:0.27522, val_accuracy: 0.88478
epoch: 11/50, train_loss:0.26466, val_accuracy: 0.88067
epoch: 12/50, train_loss:0.25635, val_accuracy: 0.88756
epoch: 13/50, train_loss:0.24934, val_accuracy: 0.88933
epoch: 14/50, train_loss:0.24028, val_accuracy: 0.88878
epoch: 15/50, train_loss:0.23539, val_accuracy: 0.89467
epoch: 16/50, train_loss:0.23026, val_accuracy: 0.88789
epoch: 17/50, train_loss:0.22191, val_accuracy: 0.89389
epoch: 18/50, train_loss:0.21500, val_accuracy: 0.89967
epoch: 19/50, train_loss:0.20817, val_accuracy: 0.89656
epoch: 20/50, train_loss:0.20363, val_accuracy: 0.89733
epoch: 21/50, train_loss:0.19775, val_accuracy: 0.89544
epoch: 22/50, train_loss:0.19225, val_accuracy: 0.88822
epoch: 23/50, train_loss:0.18838, val_accuracy: 0.88967
epoch: 24/50, train_loss:0.18166, val_accuracy: 0.89544
epoch: 25/50, train_loss:0.17596, val_accuracy: 0.89133
epoch: 26/50, train_loss:0.17456, val_accuracy: 0.89800
epoch: 27/50, train_loss:0.16847, val_accuracy: 0.88867
epoch: 28/50, train_loss:0.16328, val_accuracy: 0.89356
epoch: 29/50, train_loss:0.15958, val_accuracy: 0.89778
epoch: 30/50, train_loss:0.15474, val_accuracy: 0.89389
epoch: 31/50, train_loss:0.14932, val_accuracy: 0.89822
epoch: 32/50, train_loss:0.14710, val_accuracy: 0.89933
epoch: 33/50, train_loss:0.14467, val_accuracy: 0.89678
epoch: 34/50, train_loss:0.13851, val_accuracy: 0.89678
epoch: 35/50, train_loss:0.13482, val_accuracy: 0.89678
epoch: 36/50, train_loss:0.13066, val_accuracy: 0.89189
epoch: 37/50, train_loss:0.12882, val_accuracy: 0.89600
epoch: 38/50, train_loss:0.12597, val_accuracy: 0.89711
epoch: 39/50, train_loss:0.12082, val_accuracy: 0.89867
epoch: 40/50, train_loss:0.11902, val_accuracy: 0.89756
epoch: 41/50, train_loss:0.11673, val_accuracy: 0.89744
epoch: 42/50, train_loss:0.11263, val_accuracy: 0.89856
epoch: 43/50, train_loss:0.11076, val_accuracy: 0.89678
epoch: 44/50, train_loss:0.10840, val_accuracy: 0.89678
epoch: 45/50, train_loss:0.10396, val_accuracy: 0.89522
epoch: 46/50, train_loss:0.10293, val_accuracy: 0.89333
epoch: 47/50, train_loss:0.09737, val_accuracy: 0.89122
epoch: 48/50, train_loss:0.09573, val_accuracy: 0.89689
epoch: 49/50, train_loss:0.09407, val_accuracy: 0.89600
epoch: 50/50, train_loss:0.09189, val_accuracy: 0.89489
