epoch: 1/20, train_loss:0.72902, val_accuracy: 0.83422
epoch: 2/20, train_loss:0.42480, val_accuracy: 0.85778
epoch: 3/20, train_loss:0.37978, val_accuracy: 0.87278
epoch: 4/20, train_loss:0.35152, val_accuracy: 0.87222
epoch: 5/20, train_loss:0.33548, val_accuracy: 0.88011
epoch: 6/20, train_loss:0.31813, val_accuracy: 0.87600
epoch: 7/20, train_loss:0.30596, val_accuracy: 0.88522
epoch: 8/20, train_loss:0.29349, val_accuracy: 0.88456
epoch: 9/20, train_loss:0.28372, val_accuracy: 0.88522
epoch: 10/20, train_loss:0.27398, val_accuracy: 0.89033
epoch: 11/20, train_loss:0.26585, val_accuracy: 0.88811
epoch: 12/20, train_loss:0.25763, val_accuracy: 0.89044
epoch: 13/20, train_loss:0.24908, val_accuracy: 0.88744
epoch: 14/20, train_loss:0.24163, val_accuracy: 0.88522
epoch: 15/20, train_loss:0.23530, val_accuracy: 0.89078
epoch: 16/20, train_loss:0.22945, val_accuracy: 0.89033
epoch: 17/20, train_loss:0.22227, val_accuracy: 0.89289
epoch: 18/20, train_loss:0.21642, val_accuracy: 0.88789
epoch: 19/20, train_loss:0.20925, val_accuracy: 0.89400
epoch: 20/20, train_loss:0.20552, val_accuracy: 0.89356
