epoch: 1/30, train_loss:2.37341, val_accuracy: 0.10589
epoch: 2/30, train_loss:2.26185, val_accuracy: 0.39767
epoch: 3/30, train_loss:2.23141, val_accuracy: 0.46578
epoch: 4/30, train_loss:2.20202, val_accuracy: 0.48456
epoch: 5/30, train_loss:2.17139, val_accuracy: 0.50344
epoch: 6/30, train_loss:2.13912, val_accuracy: 0.51911
epoch: 7/30, train_loss:2.10494, val_accuracy: 0.54822
epoch: 8/30, train_loss:2.06873, val_accuracy: 0.56922
epoch: 9/30, train_loss:2.03033, val_accuracy: 0.57300
epoch: 10/30, train_loss:1.98985, val_accuracy: 0.58867
epoch: 11/30, train_loss:1.94724, val_accuracy: 0.60722
epoch: 12/30, train_loss:1.90318, val_accuracy: 0.61856
epoch: 13/30, train_loss:1.85806, val_accuracy: 0.62200
epoch: 14/30, train_loss:1.81257, val_accuracy: 0.62478
epoch: 15/30, train_loss:1.76721, val_accuracy: 0.62544
epoch: 16/30, train_loss:1.72289, val_accuracy: 0.62867
epoch: 17/30, train_loss:1.67976, val_accuracy: 0.63467
epoch: 18/30, train_loss:1.63840, val_accuracy: 0.64011
epoch: 19/30, train_loss:1.59909, val_accuracy: 0.64578
epoch: 20/30, train_loss:1.56165, val_accuracy: 0.64622
epoch: 21/30, train_loss:1.52643, val_accuracy: 0.64522
epoch: 22/30, train_loss:1.49301, val_accuracy: 0.65156
epoch: 23/30, train_loss:1.46174, val_accuracy: 0.65122
epoch: 24/30, train_loss:1.43223, val_accuracy: 0.64589
epoch: 25/30, train_loss:1.40436, val_accuracy: 0.65011
epoch: 26/30, train_loss:1.37819, val_accuracy: 0.65478
epoch: 27/30, train_loss:1.35336, val_accuracy: 0.65344
epoch: 28/30, train_loss:1.32998, val_accuracy: 0.65511
epoch: 29/30, train_loss:1.30780, val_accuracy: 0.65667
epoch: 30/30, train_loss:1.28676, val_accuracy: 0.66100
