epoch: 1/30, train_loss:2.24344, val_accuracy: 0.50556
epoch: 2/30, train_loss:2.06485, val_accuracy: 0.57078
epoch: 3/30, train_loss:1.86522, val_accuracy: 0.57522
epoch: 4/30, train_loss:1.66832, val_accuracy: 0.60467
epoch: 5/30, train_loss:1.50282, val_accuracy: 0.63244
epoch: 6/30, train_loss:1.36827, val_accuracy: 0.65067
epoch: 7/30, train_loss:1.25865, val_accuracy: 0.67056
epoch: 8/30, train_loss:1.16931, val_accuracy: 0.67744
epoch: 9/30, train_loss:1.09625, val_accuracy: 0.69656
epoch: 10/30, train_loss:1.03580, val_accuracy: 0.69856
epoch: 11/30, train_loss:0.98497, val_accuracy: 0.70978
epoch: 12/30, train_loss:0.94176, val_accuracy: 0.72044
epoch: 13/30, train_loss:0.90427, val_accuracy: 0.72400
epoch: 14/30, train_loss:0.87159, val_accuracy: 0.72878
epoch: 15/30, train_loss:0.84299, val_accuracy: 0.73511
epoch: 16/30, train_loss:0.81706, val_accuracy: 0.73600
epoch: 17/30, train_loss:0.79423, val_accuracy: 0.74033
epoch: 18/30, train_loss:0.77331, val_accuracy: 0.74411
epoch: 19/30, train_loss:0.75465, val_accuracy: 0.74567
epoch: 20/30, train_loss:0.73759, val_accuracy: 0.75156
epoch: 21/30, train_loss:0.72224, val_accuracy: 0.75444
epoch: 22/30, train_loss:0.70824, val_accuracy: 0.75656
epoch: 23/30, train_loss:0.69554, val_accuracy: 0.75533
epoch: 24/30, train_loss:0.68341, val_accuracy: 0.75889
epoch: 25/30, train_loss:0.67271, val_accuracy: 0.76211
epoch: 26/30, train_loss:0.66228, val_accuracy: 0.76478
epoch: 27/30, train_loss:0.65308, val_accuracy: 0.76844
epoch: 28/30, train_loss:0.64412, val_accuracy: 0.76744
epoch: 29/30, train_loss:0.63580, val_accuracy: 0.77311
epoch: 30/30, train_loss:0.62817, val_accuracy: 0.77433
