epoch: 1/30, train_loss:2.18989, val_accuracy: 0.52333
epoch: 2/30, train_loss:1.85320, val_accuracy: 0.60622
epoch: 3/30, train_loss:1.46972, val_accuracy: 0.68422
epoch: 4/30, train_loss:1.21215, val_accuracy: 0.69189
epoch: 5/30, train_loss:1.05330, val_accuracy: 0.70778
epoch: 6/30, train_loss:0.94583, val_accuracy: 0.71744
epoch: 7/30, train_loss:0.86741, val_accuracy: 0.73067
epoch: 8/30, train_loss:0.80804, val_accuracy: 0.73667
epoch: 9/30, train_loss:0.76174, val_accuracy: 0.74467
epoch: 10/30, train_loss:0.72521, val_accuracy: 0.75178
epoch: 11/30, train_loss:0.69611, val_accuracy: 0.75656
epoch: 12/30, train_loss:0.67242, val_accuracy: 0.76044
epoch: 13/30, train_loss:0.65229, val_accuracy: 0.76700
epoch: 14/30, train_loss:0.63563, val_accuracy: 0.77556
epoch: 15/30, train_loss:0.62089, val_accuracy: 0.77967
epoch: 16/30, train_loss:0.60748, val_accuracy: 0.78622
epoch: 17/30, train_loss:0.59555, val_accuracy: 0.78733
epoch: 18/30, train_loss:0.58434, val_accuracy: 0.79389
epoch: 19/30, train_loss:0.57402, val_accuracy: 0.79567
epoch: 20/30, train_loss:0.56455, val_accuracy: 0.80278
epoch: 21/30, train_loss:0.55573, val_accuracy: 0.80544
epoch: 22/30, train_loss:0.54746, val_accuracy: 0.80811
epoch: 23/30, train_loss:0.53945, val_accuracy: 0.81222
epoch: 24/30, train_loss:0.53221, val_accuracy: 0.81311
epoch: 25/30, train_loss:0.52573, val_accuracy: 0.81489
epoch: 26/30, train_loss:0.51930, val_accuracy: 0.81856
epoch: 27/30, train_loss:0.51380, val_accuracy: 0.82067
epoch: 28/30, train_loss:0.50818, val_accuracy: 0.82278
epoch: 29/30, train_loss:0.50327, val_accuracy: 0.82456
epoch: 30/30, train_loss:0.49840, val_accuracy: 0.82611
