epoch: 1/30, train_loss:1.57208, val_accuracy: 0.70622
epoch: 2/30, train_loss:0.84471, val_accuracy: 0.74178
epoch: 3/30, train_loss:0.67472, val_accuracy: 0.76900
epoch: 4/30, train_loss:0.60354, val_accuracy: 0.79011
epoch: 5/30, train_loss:0.55923, val_accuracy: 0.80756
epoch: 6/30, train_loss:0.52752, val_accuracy: 0.81611
epoch: 7/30, train_loss:0.50199, val_accuracy: 0.82589
epoch: 8/30, train_loss:0.48264, val_accuracy: 0.83589
epoch: 9/30, train_loss:0.46690, val_accuracy: 0.83733
epoch: 10/30, train_loss:0.45407, val_accuracy: 0.84344
epoch: 11/30, train_loss:0.44292, val_accuracy: 0.83889
epoch: 12/30, train_loss:0.43387, val_accuracy: 0.84522
epoch: 13/30, train_loss:0.42537, val_accuracy: 0.84989
epoch: 14/30, train_loss:0.41763, val_accuracy: 0.85000
epoch: 15/30, train_loss:0.41068, val_accuracy: 0.84911
epoch: 16/30, train_loss:0.40568, val_accuracy: 0.85511
epoch: 17/30, train_loss:0.40002, val_accuracy: 0.85822
epoch: 18/30, train_loss:0.39477, val_accuracy: 0.85944
epoch: 19/30, train_loss:0.39037, val_accuracy: 0.85978
epoch: 20/30, train_loss:0.38592, val_accuracy: 0.86244
epoch: 21/30, train_loss:0.38168, val_accuracy: 0.86267
epoch: 22/30, train_loss:0.37749, val_accuracy: 0.86356
epoch: 23/30, train_loss:0.37459, val_accuracy: 0.86200
epoch: 24/30, train_loss:0.37056, val_accuracy: 0.86400
epoch: 25/30, train_loss:0.36695, val_accuracy: 0.86656
epoch: 26/30, train_loss:0.36399, val_accuracy: 0.86744
epoch: 27/30, train_loss:0.36111, val_accuracy: 0.86300
epoch: 28/30, train_loss:0.35773, val_accuracy: 0.86878
epoch: 29/30, train_loss:0.35513, val_accuracy: 0.86522
epoch: 30/30, train_loss:0.35247, val_accuracy: 0.87044
