epoch: 1/30, train_loss:1.18335, val_accuracy: 0.73722
epoch: 2/30, train_loss:0.64717, val_accuracy: 0.78833
epoch: 3/30, train_loss:0.54209, val_accuracy: 0.81644
epoch: 4/30, train_loss:0.49149, val_accuracy: 0.82044
epoch: 5/30, train_loss:0.46424, val_accuracy: 0.84122
epoch: 6/30, train_loss:0.44435, val_accuracy: 0.84544
epoch: 7/30, train_loss:0.43074, val_accuracy: 0.84622
epoch: 8/30, train_loss:0.41697, val_accuracy: 0.85478
epoch: 9/30, train_loss:0.40683, val_accuracy: 0.85333
epoch: 10/30, train_loss:0.39751, val_accuracy: 0.85756
epoch: 11/30, train_loss:0.38856, val_accuracy: 0.85956
epoch: 12/30, train_loss:0.38217, val_accuracy: 0.86289
epoch: 13/30, train_loss:0.37554, val_accuracy: 0.85544
epoch: 14/30, train_loss:0.36906, val_accuracy: 0.86389
epoch: 15/30, train_loss:0.36351, val_accuracy: 0.86811
epoch: 16/30, train_loss:0.35836, val_accuracy: 0.87044
epoch: 17/30, train_loss:0.35373, val_accuracy: 0.86944
epoch: 18/30, train_loss:0.34820, val_accuracy: 0.86711
epoch: 19/30, train_loss:0.34450, val_accuracy: 0.87278
epoch: 20/30, train_loss:0.33975, val_accuracy: 0.87011
epoch: 21/30, train_loss:0.33537, val_accuracy: 0.87556
epoch: 22/30, train_loss:0.33227, val_accuracy: 0.87644
epoch: 23/30, train_loss:0.32777, val_accuracy: 0.87633
epoch: 24/30, train_loss:0.32418, val_accuracy: 0.87133
epoch: 25/30, train_loss:0.32003, val_accuracy: 0.87433
epoch: 26/30, train_loss:0.31653, val_accuracy: 0.87289
epoch: 27/30, train_loss:0.31373, val_accuracy: 0.87900
epoch: 28/30, train_loss:0.31017, val_accuracy: 0.87900
epoch: 29/30, train_loss:0.30748, val_accuracy: 0.87889
epoch: 30/30, train_loss:0.30410, val_accuracy: 0.88044
