epoch: 1/30, train_loss:0.73379, val_accuracy: 0.82156
epoch: 2/30, train_loss:0.48295, val_accuracy: 0.84678
epoch: 3/30, train_loss:0.43369, val_accuracy: 0.85444
epoch: 4/30, train_loss:0.40212, val_accuracy: 0.84678
epoch: 5/30, train_loss:0.37845, val_accuracy: 0.87044
epoch: 6/30, train_loss:0.36194, val_accuracy: 0.85833
epoch: 7/30, train_loss:0.34864, val_accuracy: 0.86622
epoch: 8/30, train_loss:0.33671, val_accuracy: 0.86311
epoch: 9/30, train_loss:0.32609, val_accuracy: 0.86822
epoch: 10/30, train_loss:0.31594, val_accuracy: 0.87956
epoch: 11/30, train_loss:0.30717, val_accuracy: 0.86189
epoch: 12/30, train_loss:0.29964, val_accuracy: 0.86533
epoch: 13/30, train_loss:0.29480, val_accuracy: 0.88633
epoch: 14/30, train_loss:0.28601, val_accuracy: 0.87956
epoch: 15/30, train_loss:0.28166, val_accuracy: 0.88644
epoch: 16/30, train_loss:0.27439, val_accuracy: 0.88411
epoch: 17/30, train_loss:0.26954, val_accuracy: 0.88133
epoch: 18/30, train_loss:0.26283, val_accuracy: 0.88400
epoch: 19/30, train_loss:0.25879, val_accuracy: 0.88733
epoch: 20/30, train_loss:0.25402, val_accuracy: 0.89133
epoch: 21/30, train_loss:0.24713, val_accuracy: 0.88567
epoch: 22/30, train_loss:0.24493, val_accuracy: 0.89333
epoch: 23/30, train_loss:0.24107, val_accuracy: 0.89300
epoch: 24/30, train_loss:0.23514, val_accuracy: 0.88456
epoch: 25/30, train_loss:0.23112, val_accuracy: 0.88122
epoch: 26/30, train_loss:0.22816, val_accuracy: 0.89356
epoch: 27/30, train_loss:0.22295, val_accuracy: 0.89467
epoch: 28/30, train_loss:0.21983, val_accuracy: 0.89233
epoch: 29/30, train_loss:0.21629, val_accuracy: 0.89233
epoch: 30/30, train_loss:0.21295, val_accuracy: 0.89478
