epoch: 1/30, train_loss:0.68987, val_accuracy: 0.82989
epoch: 2/30, train_loss:0.45720, val_accuracy: 0.84344
epoch: 3/30, train_loss:0.40184, val_accuracy: 0.85822
epoch: 4/30, train_loss:0.37294, val_accuracy: 0.86889
epoch: 5/30, train_loss:0.35257, val_accuracy: 0.86933
epoch: 6/30, train_loss:0.33555, val_accuracy: 0.86978
epoch: 7/30, train_loss:0.32048, val_accuracy: 0.87856
epoch: 8/30, train_loss:0.30930, val_accuracy: 0.87567
epoch: 9/30, train_loss:0.29929, val_accuracy: 0.88078
epoch: 10/30, train_loss:0.29040, val_accuracy: 0.88211
epoch: 11/30, train_loss:0.28129, val_accuracy: 0.87978
epoch: 12/30, train_loss:0.27473, val_accuracy: 0.88022
epoch: 13/30, train_loss:0.26563, val_accuracy: 0.87222
epoch: 14/30, train_loss:0.25930, val_accuracy: 0.89022
epoch: 15/30, train_loss:0.25390, val_accuracy: 0.88789
epoch: 16/30, train_loss:0.24714, val_accuracy: 0.89200
epoch: 17/30, train_loss:0.24037, val_accuracy: 0.88011
epoch: 18/30, train_loss:0.23623, val_accuracy: 0.88989
epoch: 19/30, train_loss:0.23060, val_accuracy: 0.88811
epoch: 20/30, train_loss:0.22485, val_accuracy: 0.88989
epoch: 21/30, train_loss:0.22137, val_accuracy: 0.88822
epoch: 22/30, train_loss:0.21617, val_accuracy: 0.88811
epoch: 23/30, train_loss:0.21087, val_accuracy: 0.88589
epoch: 24/30, train_loss:0.20613, val_accuracy: 0.89133
epoch: 25/30, train_loss:0.20297, val_accuracy: 0.88789
epoch: 26/30, train_loss:0.19864, val_accuracy: 0.89111
epoch: 27/30, train_loss:0.19585, val_accuracy: 0.88556
epoch: 28/30, train_loss:0.19000, val_accuracy: 0.89356
epoch: 29/30, train_loss:0.18619, val_accuracy: 0.89067
epoch: 30/30, train_loss:0.18571, val_accuracy: 0.89278
