epoch: 1/25, train_loss:0.89425, val_accuracy: 0.71556
epoch: 2/25, train_loss:0.79303, val_accuracy: 0.70778
epoch: 3/25, train_loss:0.74644, val_accuracy: 0.73544
epoch: 4/25, train_loss:0.71749, val_accuracy: 0.72533
epoch: 5/25, train_loss:0.72546, val_accuracy: 0.74567
epoch: 6/25, train_loss:0.75018, val_accuracy: 0.76633
epoch: 7/25, train_loss:0.74676, val_accuracy: 0.72400
epoch: 8/25, train_loss:0.73941, val_accuracy: 0.75622
epoch: 9/25, train_loss:0.71724, val_accuracy: 0.72344
epoch: 10/25, train_loss:0.71500, val_accuracy: 0.73478
epoch: 11/25, train_loss:0.72238, val_accuracy: 0.71567
epoch: 12/25, train_loss:0.71094, val_accuracy: 0.72333
epoch: 13/25, train_loss:0.70856, val_accuracy: 0.74689
epoch: 14/25, train_loss:0.70447, val_accuracy: 0.73633
epoch: 15/25, train_loss:0.68619, val_accuracy: 0.72433
epoch: 16/25, train_loss:0.68665, val_accuracy: 0.74089
epoch: 17/25, train_loss:0.72513, val_accuracy: 0.75311
epoch: 18/25, train_loss:0.69367, val_accuracy: 0.76411
epoch: 19/25, train_loss:0.71886, val_accuracy: 0.71856
epoch: 20/25, train_loss:0.69539, val_accuracy: 0.71578
epoch: 21/25, train_loss:0.71773, val_accuracy: 0.71444
epoch: 22/25, train_loss:0.74793, val_accuracy: 0.75389
epoch: 23/25, train_loss:0.71838, val_accuracy: 0.73033
epoch: 24/25, train_loss:0.71312, val_accuracy: 0.75067
epoch: 25/25, train_loss:0.69775, val_accuracy: 0.76700
