epoch: 1/25, train_loss:0.72034, val_accuracy: 0.83300
epoch: 2/25, train_loss:0.42667, val_accuracy: 0.84822
epoch: 3/25, train_loss:0.38239, val_accuracy: 0.87078
epoch: 4/25, train_loss:0.35647, val_accuracy: 0.86933
epoch: 5/25, train_loss:0.33554, val_accuracy: 0.87811
epoch: 6/25, train_loss:0.31968, val_accuracy: 0.87622
epoch: 7/25, train_loss:0.30654, val_accuracy: 0.88322
epoch: 8/25, train_loss:0.29600, val_accuracy: 0.88189
epoch: 9/25, train_loss:0.28585, val_accuracy: 0.88733
epoch: 10/25, train_loss:0.27524, val_accuracy: 0.88633
epoch: 11/25, train_loss:0.26671, val_accuracy: 0.88856
epoch: 12/25, train_loss:0.26022, val_accuracy: 0.88778
epoch: 13/25, train_loss:0.24994, val_accuracy: 0.88967
epoch: 14/25, train_loss:0.24505, val_accuracy: 0.88122
epoch: 15/25, train_loss:0.23668, val_accuracy: 0.89300
epoch: 16/25, train_loss:0.23129, val_accuracy: 0.88833
epoch: 17/25, train_loss:0.22332, val_accuracy: 0.88611
epoch: 18/25, train_loss:0.21993, val_accuracy: 0.89100
epoch: 19/25, train_loss:0.21285, val_accuracy: 0.89533
epoch: 20/25, train_loss:0.20780, val_accuracy: 0.89156
epoch: 21/25, train_loss:0.20121, val_accuracy: 0.88956
epoch: 22/25, train_loss:0.19712, val_accuracy: 0.89489
epoch: 23/25, train_loss:0.19105, val_accuracy: 0.88944
epoch: 24/25, train_loss:0.18670, val_accuracy: 0.88778
epoch: 25/25, train_loss:0.18437, val_accuracy: 0.89278
