epoch: 1/25, train_loss:0.77076, val_accuracy: 0.81389
epoch: 2/25, train_loss:0.43765, val_accuracy: 0.85656
epoch: 3/25, train_loss:0.38959, val_accuracy: 0.86678
epoch: 4/25, train_loss:0.36354, val_accuracy: 0.86611
epoch: 5/25, train_loss:0.34614, val_accuracy: 0.87344
epoch: 6/25, train_loss:0.32931, val_accuracy: 0.87222
epoch: 7/25, train_loss:0.31704, val_accuracy: 0.87544
epoch: 8/25, train_loss:0.30548, val_accuracy: 0.88211
epoch: 9/25, train_loss:0.29482, val_accuracy: 0.87422
epoch: 10/25, train_loss:0.28379, val_accuracy: 0.88167
epoch: 11/25, train_loss:0.27631, val_accuracy: 0.88511
epoch: 12/25, train_loss:0.26834, val_accuracy: 0.88744
epoch: 13/25, train_loss:0.26193, val_accuracy: 0.88311
epoch: 14/25, train_loss:0.25398, val_accuracy: 0.88478
epoch: 15/25, train_loss:0.24709, val_accuracy: 0.89044
epoch: 16/25, train_loss:0.23924, val_accuracy: 0.88511
epoch: 17/25, train_loss:0.23481, val_accuracy: 0.89044
epoch: 18/25, train_loss:0.22773, val_accuracy: 0.88989
epoch: 19/25, train_loss:0.22207, val_accuracy: 0.88444
epoch: 20/25, train_loss:0.21655, val_accuracy: 0.89222
epoch: 21/25, train_loss:0.21161, val_accuracy: 0.89089
epoch: 22/25, train_loss:0.20635, val_accuracy: 0.88833
epoch: 23/25, train_loss:0.20239, val_accuracy: 0.89078
epoch: 24/25, train_loss:0.19587, val_accuracy: 0.89156
epoch: 25/25, train_loss:0.19108, val_accuracy: 0.89478
