Epoch 1/50 - loss=1.1558, val_acc=0.6580, val_loss=0.999524521038412
Epoch 2/50 - loss=1.2342, val_acc=0.6463, val_loss=1.0287331753478446
Epoch 3/50 - loss=1.5269, val_acc=0.6387, val_loss=1.06252837333692
Epoch 4/50 - loss=2.4155, val_acc=0.6413, val_loss=1.046796026574117
Epoch 5/50 - loss=4.7794, val_acc=0.6500, val_loss=1.0348835459488388
Epoch 6/50 - loss=10.3671, val_acc=0.6482, val_loss=1.0355196062883458
Epoch 7/50 - loss=22.2507, val_acc=0.6503, val_loss=1.030768997532703
Epoch 8/50 - loss=45.8692, val_acc=0.6473, val_loss=1.043067980268867
Epoch 9/50 - loss=91.4217, val_acc=0.6417, val_loss=1.0522185554914665
Epoch 10/50 - loss=180.8959, val_acc=0.6350, val_loss=1.0570469312905506
Epoch 11/50 - loss=342.0549, val_acc=0.6350, val_loss=1.0651937438442904
Epoch 12/50 - loss=628.8830, val_acc=0.6415, val_loss=1.0536272476037
Epoch 13/50 - loss=1093.6147, val_acc=0.6368, val_loss=1.0461376888232123
Epoch 14/50 - loss=1752.0183, val_acc=0.6387, val_loss=1.0529772690663273
Epoch 15/50 - loss=2706.8039, val_acc=0.6297, val_loss=1.0708207108178585
Epoch 16/50 - loss=3982.2277, val_acc=0.6317, val_loss=1.067111703969136
Epoch 17/50 - loss=5693.4111, val_acc=0.6333, val_loss=1.0625004479810254
Epoch 18/50 - loss=7822.5063, val_acc=0.6417, val_loss=1.0476632872734277
Epoch 19/50 - loss=10551.0789, val_acc=0.6348, val_loss=1.057178818567929
Epoch 20/50 - loss=14072.7236, val_acc=0.6310, val_loss=1.0534222578117722
