Epoch 1/30 - loss=0.1623, val_acc=0.7995, val_loss=0.14109515915757007
Epoch 2/30 - loss=0.1342, val_acc=0.8280, val_loss=0.12063663948411393
Epoch 3/30 - loss=0.1343, val_acc=0.8198, val_loss=0.1253175423316664
Epoch 4/30 - loss=0.1276, val_acc=0.8412, val_loss=0.11152894161175769
Epoch 5/30 - loss=0.1183, val_acc=0.8465, val_loss=0.10790953154306632
Epoch 6/30 - loss=0.1145, val_acc=0.8585, val_loss=0.10024817496484233
Epoch 7/30 - loss=0.1118, val_acc=0.8570, val_loss=0.10314675571916665
Epoch 8/30 - loss=0.1132, val_acc=0.8513, val_loss=0.10444879462466905
Epoch 9/30 - loss=0.1142, val_acc=0.8570, val_loss=0.1017921273688144
Epoch 10/30 - loss=0.1098, val_acc=0.8585, val_loss=0.10071447722087638
Epoch 11/30 - loss=0.1091, val_acc=0.8602, val_loss=0.09817153639690918
Epoch 12/30 - loss=0.1070, val_acc=0.8505, val_loss=0.10500654448159184
Epoch 13/30 - loss=0.1055, val_acc=0.8618, val_loss=0.09730009981546274
Epoch 14/30 - loss=0.1066, val_acc=0.8602, val_loss=0.09880627725509736
Epoch 15/30 - loss=0.1059, val_acc=0.8582, val_loss=0.09790680628185063
Epoch 16/30 - loss=0.1054, val_acc=0.8650, val_loss=0.09470721498582266
Epoch 17/30 - loss=0.1057, val_acc=0.8587, val_loss=0.09930190572950402
Epoch 18/30 - loss=0.1046, val_acc=0.8577, val_loss=0.10123186499400329
Epoch 19/30 - loss=0.1029, val_acc=0.8595, val_loss=0.09753846063360008
Epoch 20/30 - loss=0.1025, val_acc=0.8645, val_loss=0.09297987552362319
Epoch 21/30 - loss=0.1021, val_acc=0.8632, val_loss=0.0984057225228139
Epoch 22/30 - loss=0.1027, val_acc=0.8668, val_loss=0.0939048634550006
Epoch 23/30 - loss=0.1012, val_acc=0.8645, val_loss=0.09504015775727653
Epoch 24/30 - loss=0.1014, val_acc=0.8662, val_loss=0.09434178727316828
Epoch 25/30 - loss=0.1012, val_acc=0.8648, val_loss=0.095781191332924
Epoch 26/30 - loss=0.1011, val_acc=0.8668, val_loss=0.09226805427631514
Epoch 27/30 - loss=0.1001, val_acc=0.8653, val_loss=0.09323697072958016
Epoch 28/30 - loss=0.1009, val_acc=0.8680, val_loss=0.09446103813466955
Epoch 29/30 - loss=0.1013, val_acc=0.8652, val_loss=0.0951688717894344
Epoch 30/30 - loss=0.1001, val_acc=0.8723, val_loss=0.09056717762736635
test accuracy  0.8655
