Epoch 1/40 - loss=5.1455, val_acc=0.2677, val_loss=9.893331137137466
Epoch 2/40 - loss=15.0207, val_acc=0.2755, val_loss=20.209815008560366
Epoch 3/40 - loss=25.0783, val_acc=0.2777, val_loss=29.924368669770654
Epoch 4/40 - loss=34.7686, val_acc=0.2587, val_loss=39.38732111124936
Epoch 5/40 - loss=43.6302, val_acc=0.3402, val_loss=47.73427861678213
Epoch 6/40 - loss=51.3886, val_acc=0.3567, val_loss=54.88727539815454
Epoch 7/40 - loss=57.9150, val_acc=0.3525, val_loss=60.5558461285336
Epoch 8/40 - loss=63.6536, val_acc=0.3657, val_loss=66.4235614982865
Epoch 9/40 - loss=68.9037, val_acc=0.4005, val_loss=71.2330026410176
Epoch 10/40 - loss=73.6387, val_acc=0.3547, val_loss=75.73924907265594
Epoch 11/40 - loss=77.7529, val_acc=0.3920, val_loss=79.53850578151844
Epoch 12/40 - loss=81.3352, val_acc=0.3995, val_loss=82.95681907264174
Epoch 13/40 - loss=84.5570, val_acc=0.4030, val_loss=85.84727313373062
Epoch 14/40 - loss=87.4800, val_acc=0.4327, val_loss=88.84688389286595
Epoch 15/40 - loss=90.6125, val_acc=0.4382, val_loss=92.11784136787433
Epoch 16/40 - loss=93.7244, val_acc=0.4150, val_loss=94.98937607702449
Epoch 17/40 - loss=96.5467, val_acc=0.4192, val_loss=97.893261908979
Epoch 18/40 - loss=99.3412, val_acc=0.4405, val_loss=100.48464463016607
Epoch 19/40 - loss=102.0575, val_acc=0.4293, val_loss=103.4041516486363
Epoch 20/40 - loss=104.7002, val_acc=0.4552, val_loss=105.89711016071678
