Epoch 1/40 - loss=0.2417, val_acc=0.7402, val_loss=0.2022652312451412
Epoch 2/40 - loss=0.2437, val_acc=0.6290, val_loss=0.24318893960464338
Epoch 3/40 - loss=0.2795, val_acc=0.5703, val_loss=0.2725803363607874
Epoch 4/40 - loss=0.3039, val_acc=0.5272, val_loss=0.29215011947481
Epoch 5/40 - loss=0.3186, val_acc=0.4908, val_loss=0.30591378316334406
Epoch 6/40 - loss=0.3283, val_acc=0.4625, val_loss=0.3150805174135078
Epoch 7/40 - loss=0.3356, val_acc=0.4468, val_loss=0.3221139284939826
Epoch 8/40 - loss=0.3407, val_acc=0.4297, val_loss=0.3295292736586913
Epoch 9/40 - loss=0.3454, val_acc=0.4238, val_loss=0.3319450025545662
Epoch 10/40 - loss=0.3485, val_acc=0.4087, val_loss=0.3355340981856465
Epoch 11/40 - loss=0.3509, val_acc=0.4077, val_loss=0.33718699922821416
Epoch 12/40 - loss=0.3531, val_acc=0.4067, val_loss=0.3385400669975398
Epoch 13/40 - loss=0.3550, val_acc=0.3842, val_loss=0.3418335139364344
Epoch 14/40 - loss=0.3565, val_acc=0.3940, val_loss=0.3403908375915218
Epoch 15/40 - loss=0.3570, val_acc=0.4030, val_loss=0.3399548830843311
Epoch 16/40 - loss=0.3582, val_acc=0.4007, val_loss=0.3407593364979081
Epoch 17/40 - loss=0.3585, val_acc=0.3977, val_loss=0.3391951014887109
Epoch 18/40 - loss=0.3596, val_acc=0.3955, val_loss=0.34396440075588913
Epoch 19/40 - loss=0.3591, val_acc=0.3850, val_loss=0.3456462984886171
Epoch 20/40 - loss=0.3595, val_acc=0.3970, val_loss=0.34107333350405195
Epoch 21/40 - loss=0.3587, val_acc=0.3893, val_loss=0.3422122889750286
Epoch 22/40 - loss=0.3602, val_acc=0.4113, val_loss=0.34089824857197654
Epoch 23/40 - loss=0.3611, val_acc=0.3933, val_loss=0.34353210230526166
Epoch 24/40 - loss=0.3613, val_acc=0.3787, val_loss=0.34623815182068507
Epoch 25/40 - loss=0.3643, val_acc=0.3835, val_loss=0.34752600226459823
Epoch 26/40 - loss=0.3631, val_acc=0.3798, val_loss=0.3456334044658262
Epoch 27/40 - loss=0.3650, val_acc=0.3727, val_loss=0.352339253737434
Epoch 28/40 - loss=0.3673, val_acc=0.3773, val_loss=0.3497389418031165
Epoch 29/40 - loss=0.3661, val_acc=0.3825, val_loss=0.3465965191888933
Epoch 30/40 - loss=0.3678, val_acc=0.3793, val_loss=0.3500389109999237
Epoch 31/40 - loss=0.3683, val_acc=0.3742, val_loss=0.3539574501159192
Epoch 32/40 - loss=0.3691, val_acc=0.3688, val_loss=0.3545162624266368
Epoch 33/40 - loss=0.3690, val_acc=0.3767, val_loss=0.35048624139122875
Epoch 34/40 - loss=0.3712, val_acc=0.3605, val_loss=0.35495375672241775
Epoch 35/40 - loss=0.3730, val_acc=0.3667, val_loss=0.35601691690967996
Epoch 36/40 - loss=0.3731, val_acc=0.3613, val_loss=0.3568210286453215
Epoch 37/40 - loss=0.3734, val_acc=0.3488, val_loss=0.35826732431413
Epoch 38/40 - loss=0.3737, val_acc=0.3558, val_loss=0.3568229999287872
Epoch 39/40 - loss=0.3732, val_acc=0.3535, val_loss=0.3574650913953905
Epoch 40/40 - loss=0.3738, val_acc=0.3518, val_loss=0.36015159899577337
test accuracy  0.353
