Epoch 1/40 - loss=0.3212, val_acc=0.7003, val_loss=0.24125140965989927
Epoch 2/40 - loss=0.2220, val_acc=0.7318, val_loss=0.1984091022293329
Epoch 3/40 - loss=0.1942, val_acc=0.7470, val_loss=0.18045950268246827
Epoch 4/40 - loss=0.1811, val_acc=0.7573, val_loss=0.16995224829069946
Epoch 5/40 - loss=0.1725, val_acc=0.7642, val_loss=0.1624359850904777
Epoch 6/40 - loss=0.1662, val_acc=0.7733, val_loss=0.15680805705219117
Epoch 7/40 - loss=0.1611, val_acc=0.7802, val_loss=0.15253440544756428
Epoch 8/40 - loss=0.1574, val_acc=0.7895, val_loss=0.14923244844853129
Epoch 9/40 - loss=0.1544, val_acc=0.7913, val_loss=0.14675361792367866
Epoch 10/40 - loss=0.1514, val_acc=0.7922, val_loss=0.14445109003085274
Epoch 11/40 - loss=0.1503, val_acc=0.7980, val_loss=0.1421363101038393
Epoch 12/40 - loss=0.1482, val_acc=0.8012, val_loss=0.14071252138880824
Epoch 13/40 - loss=0.1470, val_acc=0.8040, val_loss=0.13932433515207968
Epoch 14/40 - loss=0.1453, val_acc=0.8060, val_loss=0.1377668502347661
Epoch 15/40 - loss=0.1450, val_acc=0.8083, val_loss=0.13694543027677059
Epoch 16/40 - loss=0.1441, val_acc=0.8085, val_loss=0.13594179659749794
Epoch 17/40 - loss=0.1443, val_acc=0.8110, val_loss=0.13534192882178187
Epoch 18/40 - loss=0.1426, val_acc=0.8125, val_loss=0.13478498731346858
Epoch 19/40 - loss=0.1421, val_acc=0.8138, val_loss=0.1341161052682749
Epoch 20/40 - loss=0.1411, val_acc=0.8152, val_loss=0.13289564941961055
Epoch 21/40 - loss=0.1412, val_acc=0.8142, val_loss=0.1332993913567009
Epoch 22/40 - loss=0.1408, val_acc=0.8153, val_loss=0.13382660570378557
Epoch 23/40 - loss=0.1405, val_acc=0.8152, val_loss=0.13270300574541843
Epoch 24/40 - loss=0.1398, val_acc=0.8158, val_loss=0.13227719779549785
Epoch 25/40 - loss=0.1403, val_acc=0.8170, val_loss=0.131678523002312
Epoch 26/40 - loss=0.1396, val_acc=0.8180, val_loss=0.13169719284256645
Epoch 27/40 - loss=0.1399, val_acc=0.8178, val_loss=0.1312436459607672
Epoch 28/40 - loss=0.1389, val_acc=0.8160, val_loss=0.13210733711405975
Epoch 29/40 - loss=0.1390, val_acc=0.8167, val_loss=0.1310218245254026
Epoch 30/40 - loss=0.1399, val_acc=0.8210, val_loss=0.13072718398988842
Epoch 31/40 - loss=0.1384, val_acc=0.8195, val_loss=0.13054198484432422
Epoch 32/40 - loss=0.1388, val_acc=0.8195, val_loss=0.1306828473766098
Epoch 33/40 - loss=0.1386, val_acc=0.8207, val_loss=0.1304688773778931
Epoch 34/40 - loss=0.1389, val_acc=0.8208, val_loss=0.13017395034716595
Epoch 35/40 - loss=0.1391, val_acc=0.8210, val_loss=0.12979656424802288
Epoch 36/40 - loss=0.1390, val_acc=0.8205, val_loss=0.12940664075738606
Epoch 37/40 - loss=0.1387, val_acc=0.8208, val_loss=0.12971161207957788
Epoch 38/40 - loss=0.1379, val_acc=0.8210, val_loss=0.12969481302763658
Epoch 39/40 - loss=0.1382, val_acc=0.8232, val_loss=0.12927044143546737
Epoch 40/40 - loss=0.1381, val_acc=0.8222, val_loss=0.12899966974701826
test accuracy  0.8166
