Epoch 1/40 - loss=0.6656, val_acc=0.8140, val_loss=0.5577743363141797
Epoch 2/40 - loss=0.5447, val_acc=0.8203, val_loss=0.5347234816460344
Epoch 3/40 - loss=0.5024, val_acc=0.8397, val_loss=0.4312165440564049
Epoch 4/40 - loss=0.4588, val_acc=0.8437, val_loss=0.42315897087275783
Epoch 5/40 - loss=0.4630, val_acc=0.8453, val_loss=0.44086581167861794
Epoch 6/40 - loss=0.4699, val_acc=0.8532, val_loss=0.39846392949848036
Epoch 7/40 - loss=0.4201, val_acc=0.8592, val_loss=0.3788139647539199
Epoch 8/40 - loss=0.4073, val_acc=0.8553, val_loss=0.38104643448375525
Epoch 9/40 - loss=0.4066, val_acc=0.8610, val_loss=0.37303483160645057
Epoch 10/40 - loss=0.3992, val_acc=0.8588, val_loss=0.3885108866828634
Epoch 11/40 - loss=0.3991, val_acc=0.8610, val_loss=0.37314298084870023
Epoch 12/40 - loss=0.3912, val_acc=0.8643, val_loss=0.36341424323411137
Epoch 13/40 - loss=0.3844, val_acc=0.8683, val_loss=0.3637482645517469
Epoch 14/40 - loss=0.3778, val_acc=0.8702, val_loss=0.353985579828602
Epoch 15/40 - loss=0.3738, val_acc=0.8683, val_loss=0.3473312125819069
Epoch 16/40 - loss=0.3710, val_acc=0.8652, val_loss=0.35381876328379563
Epoch 17/40 - loss=0.3651, val_acc=0.8747, val_loss=0.3426026185001507
Epoch 18/40 - loss=0.3643, val_acc=0.8610, val_loss=0.36576077124599443
