Epoch 1/40 - loss=0.4174, val_acc=0.5775, val_loss=0.37503606621778274
Epoch 2/40 - loss=0.3437, val_acc=0.6630, val_loss=0.3133482166935451
Epoch 3/40 - loss=0.2936, val_acc=0.6905, val_loss=0.2733802141909484
Epoch 4/40 - loss=0.2617, val_acc=0.7002, val_loss=0.24737829298701222
Epoch 5/40 - loss=0.2406, val_acc=0.7103, val_loss=0.22988630971080595
Epoch 6/40 - loss=0.2257, val_acc=0.7192, val_loss=0.21743075650134408
Epoch 7/40 - loss=0.2151, val_acc=0.7278, val_loss=0.20828489305548958
Epoch 8/40 - loss=0.2067, val_acc=0.7337, val_loss=0.20092879672833874
Epoch 9/40 - loss=0.2001, val_acc=0.7357, val_loss=0.19537671035502055
Epoch 10/40 - loss=0.1949, val_acc=0.7415, val_loss=0.19054746055909985
Epoch 11/40 - loss=0.1901, val_acc=0.7458, val_loss=0.18662711136577476
Epoch 12/40 - loss=0.1866, val_acc=0.7477, val_loss=0.18308018980446938
Epoch 13/40 - loss=0.1832, val_acc=0.7512, val_loss=0.18017070003374722
Epoch 14/40 - loss=0.1804, val_acc=0.7535, val_loss=0.1774218597570812
Epoch 15/40 - loss=0.1775, val_acc=0.7560, val_loss=0.17505607765255762
Epoch 16/40 - loss=0.1753, val_acc=0.7575, val_loss=0.17291530638387115
Epoch 17/40 - loss=0.1731, val_acc=0.7610, val_loss=0.1709378162394415
Epoch 18/40 - loss=0.1707, val_acc=0.7630, val_loss=0.1691263580300016
Epoch 19/40 - loss=0.1695, val_acc=0.7638, val_loss=0.16732686579454456
Epoch 20/40 - loss=0.1676, val_acc=0.7668, val_loss=0.16591955204982287
Epoch 21/40 - loss=0.1660, val_acc=0.7682, val_loss=0.1644601677560679
Epoch 22/40 - loss=0.1647, val_acc=0.7698, val_loss=0.16306368161908572
Epoch 23/40 - loss=0.1632, val_acc=0.7708, val_loss=0.16186433350820043
Epoch 24/40 - loss=0.1622, val_acc=0.7710, val_loss=0.1605388071519032
Epoch 25/40 - loss=0.1610, val_acc=0.7728, val_loss=0.159592048989126
Epoch 26/40 - loss=0.1596, val_acc=0.7755, val_loss=0.1584711555661846
Epoch 27/40 - loss=0.1585, val_acc=0.7770, val_loss=0.15743462584920712
Epoch 28/40 - loss=0.1576, val_acc=0.7775, val_loss=0.15645699758989187
Epoch 29/40 - loss=0.1565, val_acc=0.7790, val_loss=0.15553743053737767
Epoch 30/40 - loss=0.1556, val_acc=0.7800, val_loss=0.15463889047869733
Epoch 31/40 - loss=0.1545, val_acc=0.7817, val_loss=0.15376829364105857
Epoch 32/40 - loss=0.1544, val_acc=0.7820, val_loss=0.1531032066869871
Epoch 33/40 - loss=0.1531, val_acc=0.7827, val_loss=0.1522335386670101
Epoch 34/40 - loss=0.1523, val_acc=0.7850, val_loss=0.1515162569565633
Epoch 35/40 - loss=0.1516, val_acc=0.7855, val_loss=0.1508658056235804
Epoch 36/40 - loss=0.1505, val_acc=0.7855, val_loss=0.15007234400537942
Epoch 37/40 - loss=0.1501, val_acc=0.7867, val_loss=0.14923506161760716
Epoch 38/40 - loss=0.1495, val_acc=0.7870, val_loss=0.14874857796780921
Epoch 39/40 - loss=0.1493, val_acc=0.7882, val_loss=0.14805593565154526
Epoch 40/40 - loss=0.1482, val_acc=0.7913, val_loss=0.1474855711718827
test accuracy  0.7874
