Epoch 1/40 - loss=0.1686, val_acc=0.8105, val_loss=0.1337545911173096
Epoch 2/40 - loss=0.1268, val_acc=0.8283, val_loss=0.11955421813923534
Epoch 3/40 - loss=0.1171, val_acc=0.8370, val_loss=0.11471088605727256
Epoch 4/40 - loss=0.1131, val_acc=0.8428, val_loss=0.11168781438999616
Epoch 5/40 - loss=0.1138, val_acc=0.8360, val_loss=0.11629890871037228
Epoch 6/40 - loss=0.1214, val_acc=0.8327, val_loss=0.11951418993878826
Epoch 7/40 - loss=0.1229, val_acc=0.8298, val_loss=0.12156457754620935
Epoch 8/40 - loss=0.1208, val_acc=0.8318, val_loss=0.11836136903361355
Epoch 9/40 - loss=0.1173, val_acc=0.8377, val_loss=0.11651427263135035
Epoch 10/40 - loss=0.1156, val_acc=0.8427, val_loss=0.11202939255039049
Epoch 11/40 - loss=0.1114, val_acc=0.8467, val_loss=0.10909408921983564
Epoch 12/40 - loss=0.1080, val_acc=0.8482, val_loss=0.10627985944605227
Epoch 13/40 - loss=0.1046, val_acc=0.8533, val_loss=0.10421169681914175
Epoch 14/40 - loss=0.1026, val_acc=0.8547, val_loss=0.10363025887919969
Epoch 15/40 - loss=0.1013, val_acc=0.8507, val_loss=0.10448606805761848
Epoch 16/40 - loss=0.1015, val_acc=0.8520, val_loss=0.10524875732069305
Epoch 17/40 - loss=0.1037, val_acc=0.8510, val_loss=0.10555732995398098
Epoch 18/40 - loss=0.1018, val_acc=0.8553, val_loss=0.10454646890384815
Epoch 19/40 - loss=0.1024, val_acc=0.8545, val_loss=0.10479480146562868
Epoch 20/40 - loss=0.1014, val_acc=0.8550, val_loss=0.10314653718619346
Epoch 21/40 - loss=0.0984, val_acc=0.8548, val_loss=0.10177695939917093
Epoch 22/40 - loss=0.0975, val_acc=0.8578, val_loss=0.1015423148613467
Epoch 23/40 - loss=0.0972, val_acc=0.8562, val_loss=0.10141644558479969
Epoch 24/40 - loss=0.0952, val_acc=0.8548, val_loss=0.10092435921892312
Epoch 25/40 - loss=0.0942, val_acc=0.8550, val_loss=0.1000670009269933
Epoch 26/40 - loss=0.0929, val_acc=0.8607, val_loss=0.09791189521726794
Epoch 27/40 - loss=0.0904, val_acc=0.8643, val_loss=0.09510046658276763
Epoch 28/40 - loss=0.0870, val_acc=0.8693, val_loss=0.09333029517853059
Epoch 29/40 - loss=0.0851, val_acc=0.8697, val_loss=0.09353286963517242
Epoch 30/40 - loss=0.0846, val_acc=0.8673, val_loss=0.09455640222821841
Epoch 31/40 - loss=0.0879, val_acc=0.8583, val_loss=0.09841929031891307
Epoch 32/40 - loss=0.0893, val_acc=0.8647, val_loss=0.09625971718234913
Epoch 33/40 - loss=0.0882, val_acc=0.8590, val_loss=0.09763657429106193
Epoch 34/40 - loss=0.0874, val_acc=0.8613, val_loss=0.09669807528499309
Epoch 35/40 - loss=0.0879, val_acc=0.8653, val_loss=0.09547096320414251
Epoch 36/40 - loss=0.0880, val_acc=0.8685, val_loss=0.09493983005367178
Epoch 37/40 - loss=0.0858, val_acc=0.8685, val_loss=0.09404621389525634
Epoch 38/40 - loss=0.0827, val_acc=0.8715, val_loss=0.09170832981632054
Epoch 39/40 - loss=0.0800, val_acc=0.8740, val_loss=0.09010661639088033
Epoch 40/40 - loss=0.0778, val_acc=0.8722, val_loss=0.08973503048386419
test accuracy  0.8686
