Epoch 1/40 - loss=0.3238, val_acc=0.7175, val_loss=0.23767308066155027
Epoch 2/40 - loss=0.2141, val_acc=0.7422, val_loss=0.1936401776381855
Epoch 3/40 - loss=0.1869, val_acc=0.7552, val_loss=0.17686564030662782
Epoch 4/40 - loss=0.1735, val_acc=0.7620, val_loss=0.16768948408185913
Epoch 5/40 - loss=0.1655, val_acc=0.7715, val_loss=0.1607293923893378
Epoch 6/40 - loss=0.1597, val_acc=0.7753, val_loss=0.1565586973684461
Epoch 7/40 - loss=0.1555, val_acc=0.7825, val_loss=0.15256822444998624
Epoch 8/40 - loss=0.1522, val_acc=0.7867, val_loss=0.14968906093013865
Epoch 9/40 - loss=0.1491, val_acc=0.7912, val_loss=0.14633224811274773
Epoch 10/40 - loss=0.1466, val_acc=0.7937, val_loss=0.14521832990223124
Epoch 11/40 - loss=0.1445, val_acc=0.7977, val_loss=0.14273058588274998
Epoch 12/40 - loss=0.1428, val_acc=0.8007, val_loss=0.140785587632448
Epoch 13/40 - loss=0.1413, val_acc=0.8017, val_loss=0.13915361522232053
Epoch 14/40 - loss=0.1393, val_acc=0.8052, val_loss=0.1373743914848142
Epoch 15/40 - loss=0.1377, val_acc=0.8068, val_loss=0.1362240525229439
Epoch 16/40 - loss=0.1369, val_acc=0.8095, val_loss=0.13540270083892805
Epoch 17/40 - loss=0.1359, val_acc=0.8113, val_loss=0.13386472643355252
Epoch 18/40 - loss=0.1348, val_acc=0.8122, val_loss=0.13340690929411084
Epoch 19/40 - loss=0.1338, val_acc=0.8145, val_loss=0.1323338538190578
Epoch 20/40 - loss=0.1331, val_acc=0.8177, val_loss=0.13123045549618656
Epoch 21/40 - loss=0.1321, val_acc=0.8155, val_loss=0.1306374098602368
Epoch 22/40 - loss=0.1308, val_acc=0.8185, val_loss=0.12981761248524937
Epoch 23/40 - loss=0.1309, val_acc=0.8202, val_loss=0.1290668815540651
Epoch 24/40 - loss=0.1300, val_acc=0.8205, val_loss=0.1286908125283626
Epoch 25/40 - loss=0.1293, val_acc=0.8215, val_loss=0.12762158323935077
Epoch 26/40 - loss=0.1290, val_acc=0.8218, val_loss=0.12707910640938636
Epoch 27/40 - loss=0.1279, val_acc=0.8212, val_loss=0.12685110327976198
Epoch 28/40 - loss=0.1268, val_acc=0.8227, val_loss=0.12593271928016958
Epoch 29/40 - loss=0.1275, val_acc=0.8243, val_loss=0.12524248630360346
Epoch 30/40 - loss=0.1262, val_acc=0.8245, val_loss=0.12497457413728175
Epoch 31/40 - loss=0.1260, val_acc=0.8258, val_loss=0.12488948069049817
Epoch 32/40 - loss=0.1253, val_acc=0.8273, val_loss=0.12399794726097461
Epoch 33/40 - loss=0.1246, val_acc=0.8278, val_loss=0.12355618798575407
Epoch 34/40 - loss=0.1248, val_acc=0.8270, val_loss=0.12327337557409684
Epoch 35/40 - loss=0.1245, val_acc=0.8282, val_loss=0.12287582363306428
Epoch 36/40 - loss=0.1236, val_acc=0.8280, val_loss=0.12262122468406282
Epoch 37/40 - loss=0.1238, val_acc=0.8285, val_loss=0.12198433951776376
Epoch 38/40 - loss=0.1226, val_acc=0.8300, val_loss=0.12179668013257167
Epoch 39/40 - loss=0.1224, val_acc=0.8292, val_loss=0.12136732715166977
Epoch 40/40 - loss=0.1224, val_acc=0.8300, val_loss=0.1213010384168533
test accuracy  0.8197
