Epoch 1/40 - loss=0.9391, val_acc=0.6963, val_loss=0.8955458778225365
Epoch 2/40 - loss=2.4657, val_acc=0.2585, val_loss=3.583555706511876
Epoch 3/40 - loss=4.2269, val_acc=0.2512, val_loss=4.645513928997047
Epoch 4/40 - loss=5.2601, val_acc=0.2548, val_loss=5.843208982445518
Epoch 5/40 - loss=7.2913, val_acc=0.2350, val_loss=9.218622820127154
Epoch 6/40 - loss=12.3979, val_acc=0.2153, val_loss=15.809752133354893
Epoch 7/40 - loss=19.3309, val_acc=0.2150, val_loss=22.930835660027597
Epoch 8/40 - loss=26.2150, val_acc=0.2172, val_loss=29.271647576977102
Epoch 9/40 - loss=31.4046, val_acc=0.2028, val_loss=33.58344761740289
Epoch 10/40 - loss=35.5143, val_acc=0.2238, val_loss=37.665935594106294
Epoch 11/40 - loss=39.6153, val_acc=0.2263, val_loss=41.820948055090355
Epoch 12/40 - loss=43.6478, val_acc=0.2063, val_loss=45.31012541543639
Epoch 13/40 - loss=47.0484, val_acc=0.2167, val_loss=48.02183951572801
Epoch 14/40 - loss=48.9110, val_acc=0.2252, val_loss=49.28828817557699
Epoch 15/40 - loss=50.0889, val_acc=0.2270, val_loss=51.49481347967012
Epoch 16/40 - loss=53.0620, val_acc=0.2217, val_loss=54.47042261517
Epoch 17/40 - loss=55.4398, val_acc=0.2078, val_loss=56.098082906889886
Epoch 18/40 - loss=56.1149, val_acc=0.2010, val_loss=56.62672102194733
Epoch 19/40 - loss=57.2960, val_acc=0.2212, val_loss=58.2069332256639
Epoch 20/40 - loss=58.6412, val_acc=0.2095, val_loss=58.742002229766676
Epoch 21/40 - loss=58.8020, val_acc=0.2317, val_loss=59.63801810255514
Epoch 22/40 - loss=60.0577, val_acc=0.2115, val_loss=60.48985430202536
Epoch 23/40 - loss=60.7895, val_acc=0.2235, val_loss=61.26969037720708
Epoch 24/40 - loss=60.9421, val_acc=0.2362, val_loss=60.88995334336546
Epoch 25/40 - loss=60.9134, val_acc=0.2172, val_loss=60.96918814958748
Epoch 26/40 - loss=61.3995, val_acc=0.2067, val_loss=61.23244755367985
Epoch 27/40 - loss=60.6361, val_acc=0.2242, val_loss=60.56791519135088
Epoch 28/40 - loss=60.8482, val_acc=0.1935, val_loss=61.178053846063705
Epoch 29/40 - loss=61.3157, val_acc=0.2235, val_loss=61.36810128999951
Epoch 30/40 - loss=61.5468, val_acc=0.2208, val_loss=61.73290896771664
Epoch 31/40 - loss=61.9844, val_acc=0.2077, val_loss=62.438864590720875
Epoch 32/40 - loss=62.6007, val_acc=0.2188, val_loss=62.65401310984506
Epoch 33/40 - loss=62.6081, val_acc=0.2247, val_loss=62.8820876636638
Epoch 34/40 - loss=63.0711, val_acc=0.2320, val_loss=63.52084323761864
Epoch 35/40 - loss=64.3662, val_acc=0.2292, val_loss=65.2419328132157
Epoch 36/40 - loss=65.8058, val_acc=0.2043, val_loss=66.65446434640914
Epoch 37/40 - loss=66.7805, val_acc=0.2092, val_loss=67.4908806512349
Epoch 38/40 - loss=67.7275, val_acc=0.1962, val_loss=68.46678040623831
Epoch 39/40 - loss=69.2767, val_acc=0.2085, val_loss=70.01750807096323
Epoch 40/40 - loss=71.1481, val_acc=0.2128, val_loss=72.43250554191079
test accuracy  0.216
