Epoch 1/40 - loss=0.3877, val_acc=0.6465, val_loss=0.32311156668082686
Epoch 2/40 - loss=0.2929, val_acc=0.6790, val_loss=0.2582561322138315
Epoch 3/40 - loss=0.2499, val_acc=0.6967, val_loss=0.22931925555666172
Epoch 4/40 - loss=0.2278, val_acc=0.7100, val_loss=0.2119024079685681
Epoch 5/40 - loss=0.2148, val_acc=0.7195, val_loss=0.20095619070463389
Epoch 6/40 - loss=0.2048, val_acc=0.7270, val_loss=0.19319449973167746
Epoch 7/40 - loss=0.1981, val_acc=0.7365, val_loss=0.18670778213651124
Epoch 8/40 - loss=0.1932, val_acc=0.7412, val_loss=0.1821943120810501
Epoch 9/40 - loss=0.1881, val_acc=0.7452, val_loss=0.1782771251304763
Epoch 10/40 - loss=0.1845, val_acc=0.7485, val_loss=0.17477844066766776
Epoch 11/40 - loss=0.1815, val_acc=0.7542, val_loss=0.17168301764297772
Epoch 12/40 - loss=0.1791, val_acc=0.7540, val_loss=0.16938103388791614
Epoch 13/40 - loss=0.1764, val_acc=0.7577, val_loss=0.16723965519600822
Epoch 14/40 - loss=0.1752, val_acc=0.7600, val_loss=0.1648832995024278
Epoch 15/40 - loss=0.1727, val_acc=0.7633, val_loss=0.16338743096018
Epoch 16/40 - loss=0.1708, val_acc=0.7623, val_loss=0.161567138798107
Epoch 17/40 - loss=0.1700, val_acc=0.7672, val_loss=0.15978604173901104
Epoch 18/40 - loss=0.1684, val_acc=0.7687, val_loss=0.15858661359939874
Epoch 19/40 - loss=0.1667, val_acc=0.7680, val_loss=0.15727371568905732
Epoch 20/40 - loss=0.1660, val_acc=0.7688, val_loss=0.15614282199819637
Epoch 21/40 - loss=0.1646, val_acc=0.7725, val_loss=0.15470878576403507
Epoch 22/40 - loss=0.1638, val_acc=0.7745, val_loss=0.15396972147244392
Epoch 23/40 - loss=0.1630, val_acc=0.7748, val_loss=0.1532106612632674
Epoch 24/40 - loss=0.1624, val_acc=0.7795, val_loss=0.15169903789770928
Epoch 25/40 - loss=0.1614, val_acc=0.7787, val_loss=0.15138775183507472
Epoch 26/40 - loss=0.1607, val_acc=0.7828, val_loss=0.1504222861629286
Epoch 27/40 - loss=0.1593, val_acc=0.7830, val_loss=0.14962216180140295
Epoch 28/40 - loss=0.1592, val_acc=0.7843, val_loss=0.14874394309813713
Epoch 29/40 - loss=0.1589, val_acc=0.7850, val_loss=0.1477880475576763
Epoch 30/40 - loss=0.1576, val_acc=0.7858, val_loss=0.14736156806697692
Epoch 31/40 - loss=0.1573, val_acc=0.7878, val_loss=0.1465100808910992
Epoch 32/40 - loss=0.1569, val_acc=0.7888, val_loss=0.14596120901054532
Epoch 33/40 - loss=0.1558, val_acc=0.7920, val_loss=0.14527760162238965
Epoch 34/40 - loss=0.1550, val_acc=0.7927, val_loss=0.14463876429522046
Epoch 35/40 - loss=0.1548, val_acc=0.7932, val_loss=0.14417250025013273
Epoch 36/40 - loss=0.1542, val_acc=0.7930, val_loss=0.14360772959312332
Epoch 37/40 - loss=0.1533, val_acc=0.7942, val_loss=0.14307058728801955
Epoch 38/40 - loss=0.1535, val_acc=0.7947, val_loss=0.14283739829645667
Epoch 39/40 - loss=0.1528, val_acc=0.7955, val_loss=0.14233436539313285
Epoch 40/40 - loss=0.1529, val_acc=0.7957, val_loss=0.14146947391312137
test accuracy  0.795
