Epoch 1/40 - loss=0.3880, val_acc=0.6577, val_loss=0.31729301427730094
Epoch 2/40 - loss=0.2926, val_acc=0.6990, val_loss=0.2512821323930887
Epoch 3/40 - loss=0.2489, val_acc=0.7173, val_loss=0.22039673539176435
Epoch 4/40 - loss=0.2265, val_acc=0.7298, val_loss=0.20300558346255126
Epoch 5/40 - loss=0.2130, val_acc=0.7375, val_loss=0.19235205405552247
Epoch 6/40 - loss=0.2031, val_acc=0.7452, val_loss=0.18456923568312886
Epoch 7/40 - loss=0.1968, val_acc=0.7497, val_loss=0.17881108995834544
Epoch 8/40 - loss=0.1916, val_acc=0.7557, val_loss=0.1740190695661632
Epoch 9/40 - loss=0.1871, val_acc=0.7598, val_loss=0.17057771615212108
Epoch 10/40 - loss=0.1838, val_acc=0.7633, val_loss=0.16728977353668634
Epoch 11/40 - loss=0.1809, val_acc=0.7662, val_loss=0.16447913067632597
Epoch 12/40 - loss=0.1781, val_acc=0.7692, val_loss=0.16206840835328623
Epoch 13/40 - loss=0.1751, val_acc=0.7713, val_loss=0.15992882050737903
Epoch 14/40 - loss=0.1734, val_acc=0.7728, val_loss=0.15783966099536986
Epoch 15/40 - loss=0.1715, val_acc=0.7767, val_loss=0.1561869801843369
Epoch 16/40 - loss=0.1701, val_acc=0.7807, val_loss=0.1545592667582512
Epoch 17/40 - loss=0.1684, val_acc=0.7822, val_loss=0.15297637779466003
Epoch 18/40 - loss=0.1667, val_acc=0.7835, val_loss=0.15180435124873684
Epoch 19/40 - loss=0.1655, val_acc=0.7848, val_loss=0.15018404186491385
Epoch 20/40 - loss=0.1640, val_acc=0.7862, val_loss=0.14929184665952205
Epoch 21/40 - loss=0.1635, val_acc=0.7893, val_loss=0.14814840453730205
Epoch 22/40 - loss=0.1625, val_acc=0.7897, val_loss=0.14687835573012797
Epoch 23/40 - loss=0.1610, val_acc=0.7937, val_loss=0.1463115313147629
Epoch 24/40 - loss=0.1602, val_acc=0.7950, val_loss=0.1451583793736757
Epoch 25/40 - loss=0.1594, val_acc=0.7967, val_loss=0.14437151762825717
Epoch 26/40 - loss=0.1592, val_acc=0.7962, val_loss=0.1433176319476613
Epoch 27/40 - loss=0.1575, val_acc=0.7993, val_loss=0.14251121521663723
Epoch 28/40 - loss=0.1568, val_acc=0.8005, val_loss=0.1418588233586631
Epoch 29/40 - loss=0.1561, val_acc=0.7990, val_loss=0.14105425463415483
Epoch 30/40 - loss=0.1555, val_acc=0.8003, val_loss=0.14018982226280027
Epoch 31/40 - loss=0.1542, val_acc=0.8023, val_loss=0.1397250903981133
Epoch 32/40 - loss=0.1545, val_acc=0.8032, val_loss=0.13934028327183604
Epoch 33/40 - loss=0.1533, val_acc=0.8033, val_loss=0.13863253124137417
Epoch 34/40 - loss=0.1529, val_acc=0.8042, val_loss=0.13785945945818104
Epoch 35/40 - loss=0.1525, val_acc=0.8038, val_loss=0.13769603070691766
Epoch 36/40 - loss=0.1520, val_acc=0.8057, val_loss=0.13701714505111814
Epoch 37/40 - loss=0.1516, val_acc=0.8058, val_loss=0.13626081903995824
Epoch 38/40 - loss=0.1513, val_acc=0.8085, val_loss=0.13577579057887534
Epoch 39/40 - loss=0.1517, val_acc=0.8088, val_loss=0.13529987297157842
Epoch 40/40 - loss=0.1499, val_acc=0.8097, val_loss=0.13499471317303144
test accuracy  0.8018
