Epoch 1/40 - loss=0.4053, val_acc=0.5642, val_loss=0.3272890970166562
Epoch 2/40 - loss=0.3072, val_acc=0.6668, val_loss=0.25408005541633316
Epoch 3/40 - loss=0.2613, val_acc=0.7005, val_loss=0.22248546374700198
Epoch 4/40 - loss=0.2380, val_acc=0.7182, val_loss=0.20561855145001123
Epoch 5/40 - loss=0.2241, val_acc=0.7335, val_loss=0.19502337433749728
Epoch 6/40 - loss=0.2154, val_acc=0.7425, val_loss=0.18780724903649842
Epoch 7/40 - loss=0.2096, val_acc=0.7523, val_loss=0.18236155787294692
Epoch 8/40 - loss=0.2034, val_acc=0.7575, val_loss=0.1781012053619897
Epoch 9/40 - loss=0.1998, val_acc=0.7652, val_loss=0.17444228040663612
Epoch 10/40 - loss=0.1963, val_acc=0.7700, val_loss=0.17151156862250597
Epoch 11/40 - loss=0.1934, val_acc=0.7720, val_loss=0.1690581561230061
Epoch 12/40 - loss=0.1922, val_acc=0.7755, val_loss=0.1669434795418747
Epoch 13/40 - loss=0.1896, val_acc=0.7783, val_loss=0.1650901934096441
Epoch 14/40 - loss=0.1879, val_acc=0.7798, val_loss=0.16344558864443237
Epoch 15/40 - loss=0.1861, val_acc=0.7830, val_loss=0.16206628571462897
Epoch 16/40 - loss=0.1850, val_acc=0.7833, val_loss=0.16094133075328512
Epoch 17/40 - loss=0.1836, val_acc=0.7842, val_loss=0.15992509472858055
Epoch 18/40 - loss=0.1826, val_acc=0.7862, val_loss=0.15939650287882925
Epoch 19/40 - loss=0.1832, val_acc=0.7882, val_loss=0.15872664942980105
Epoch 20/40 - loss=0.1832, val_acc=0.7883, val_loss=0.1582566060737166
Epoch 21/40 - loss=0.1813, val_acc=0.7893, val_loss=0.15810191353818945
Epoch 22/40 - loss=0.1808, val_acc=0.7888, val_loss=0.15818572342269346
Epoch 23/40 - loss=0.1828, val_acc=0.7892, val_loss=0.15826743647492286
Epoch 24/40 - loss=0.1822, val_acc=0.7887, val_loss=0.15864571649744963
Epoch 25/40 - loss=0.1814, val_acc=0.7895, val_loss=0.1592563368686563
Epoch 26/40 - loss=0.1818, val_acc=0.7883, val_loss=0.16000311812255408
Epoch 27/40 - loss=0.1813, val_acc=0.7875, val_loss=0.16117724518213083
Epoch 28/40 - loss=0.1829, val_acc=0.7857, val_loss=0.1624958712750247
Epoch 29/40 - loss=0.1852, val_acc=0.7840, val_loss=0.16409775040755653
Epoch 30/40 - loss=0.1856, val_acc=0.7815, val_loss=0.16608357455981285
Epoch 31/40 - loss=0.1868, val_acc=0.7793, val_loss=0.16829339229618
Epoch 32/40 - loss=0.1884, val_acc=0.7758, val_loss=0.17066383182232195
Epoch 33/40 - loss=0.1916, val_acc=0.7738, val_loss=0.17362362488265778
Epoch 34/40 - loss=0.1934, val_acc=0.7702, val_loss=0.1765727133313436
Epoch 35/40 - loss=0.1963, val_acc=0.7672, val_loss=0.1799267809666942
Epoch 36/40 - loss=0.1995, val_acc=0.7603, val_loss=0.18372989064420328
Epoch 37/40 - loss=0.2035, val_acc=0.7545, val_loss=0.18758104953383153
Epoch 38/40 - loss=0.2046, val_acc=0.7473, val_loss=0.19162571356698302
Epoch 39/40 - loss=0.2097, val_acc=0.7408, val_loss=0.19541503583218722
Epoch 40/40 - loss=0.2135, val_acc=0.7365, val_loss=0.1992621942842708
test accuracy  0.7367
