Epoch 1/40 - loss=0.2688, val_acc=0.6332, val_loss=0.23974033494070482
Epoch 2/40 - loss=0.2630, val_acc=0.6330, val_loss=0.23488431817884695
Epoch 3/40 - loss=0.2559, val_acc=0.6415, val_loss=0.2334703252329704
Epoch 4/40 - loss=0.2534, val_acc=0.6480, val_loss=0.22961629725112134
Epoch 5/40 - loss=0.2525, val_acc=0.6572, val_loss=0.22698426101656258
Epoch 6/40 - loss=0.2502, val_acc=0.6495, val_loss=0.2261606193951544
Epoch 7/40 - loss=0.2511, val_acc=0.6450, val_loss=0.22891459927457283
Epoch 8/40 - loss=0.2523, val_acc=0.6458, val_loss=0.22977133138054767
Epoch 9/40 - loss=0.2534, val_acc=0.6475, val_loss=0.23238108926570952
Epoch 10/40 - loss=0.2545, val_acc=0.6360, val_loss=0.2348333924446763
Epoch 11/40 - loss=0.2594, val_acc=0.6268, val_loss=0.23917116750068299
Epoch 12/40 - loss=0.2584, val_acc=0.6388, val_loss=0.2408847506528422
Epoch 13/40 - loss=0.2597, val_acc=0.6335, val_loss=0.23933929404371027
Epoch 14/40 - loss=0.2587, val_acc=0.6398, val_loss=0.23743644164513655
Epoch 15/40 - loss=0.2592, val_acc=0.6302, val_loss=0.24012796439054254
Epoch 16/40 - loss=0.2608, val_acc=0.6250, val_loss=0.24259625191756617
Epoch 17/40 - loss=0.2612, val_acc=0.6243, val_loss=0.24117904473560403
Epoch 18/40 - loss=0.2615, val_acc=0.6190, val_loss=0.2401669004602098
Epoch 19/40 - loss=0.2622, val_acc=0.6227, val_loss=0.24019710710833192
Epoch 20/40 - loss=0.2600, val_acc=0.6282, val_loss=0.23914266580016655
Epoch 21/40 - loss=0.2593, val_acc=0.6227, val_loss=0.24005528096373194
Epoch 22/40 - loss=0.2589, val_acc=0.6230, val_loss=0.2403596628596977
Epoch 23/40 - loss=0.2592, val_acc=0.6280, val_loss=0.23890662210685695
Epoch 24/40 - loss=0.2577, val_acc=0.6315, val_loss=0.23853807850296563
Epoch 25/40 - loss=0.2583, val_acc=0.6292, val_loss=0.23686295085546907
Epoch 26/40 - loss=0.2564, val_acc=0.6410, val_loss=0.2351647242474406
Epoch 27/40 - loss=0.2556, val_acc=0.6340, val_loss=0.23842785226407356
Epoch 28/40 - loss=0.2536, val_acc=0.6402, val_loss=0.2339891718638941
Epoch 29/40 - loss=0.2534, val_acc=0.6438, val_loss=0.23362726251961705
Epoch 30/40 - loss=0.2530, val_acc=0.6490, val_loss=0.23017310393508383
Epoch 31/40 - loss=0.2509, val_acc=0.6457, val_loss=0.2296615973897155
Epoch 32/40 - loss=0.2497, val_acc=0.6567, val_loss=0.22801275619658357
Epoch 33/40 - loss=0.2497, val_acc=0.6548, val_loss=0.228721405006558
Epoch 34/40 - loss=0.2486, val_acc=0.6500, val_loss=0.22869484701310386
Epoch 35/40 - loss=0.2490, val_acc=0.6530, val_loss=0.22634467873074574
Epoch 36/40 - loss=0.2487, val_acc=0.6517, val_loss=0.2261343463843516
Epoch 37/40 - loss=0.2477, val_acc=0.6473, val_loss=0.2278050836510913
Epoch 38/40 - loss=0.2481, val_acc=0.6495, val_loss=0.2269014575869963
Epoch 39/40 - loss=0.2486, val_acc=0.6573, val_loss=0.22563072959086442
Epoch 40/40 - loss=0.2469, val_acc=0.6428, val_loss=0.22925698779038606
test accuracy  0.6435
