Epoch 1/40 - loss=0.8363, val_acc=0.8082, val_loss=0.6067535028152127
Epoch 2/40 - loss=0.7245, val_acc=0.7830, val_loss=0.6903225455554166
Epoch 3/40 - loss=0.8417, val_acc=0.7407, val_loss=0.8387519319840582
Epoch 4/40 - loss=0.9799, val_acc=0.6750, val_loss=0.9503844592488281
Epoch 5/40 - loss=1.0706, val_acc=0.6503, val_loss=1.0150359513716418
Epoch 6/40 - loss=1.1196, val_acc=0.6392, val_loss=1.0579333343285768
Epoch 7/40 - loss=1.1575, val_acc=0.6300, val_loss=1.0922868987547183
Epoch 8/40 - loss=1.1879, val_acc=0.6223, val_loss=1.1050676066989087
Epoch 9/40 - loss=1.2040, val_acc=0.6178, val_loss=1.1160024828225845
Epoch 10/40 - loss=1.2096, val_acc=0.6238, val_loss=1.1127620235099511
Epoch 11/40 - loss=1.2132, val_acc=0.6210, val_loss=1.1202215437372416
Epoch 12/40 - loss=1.2188, val_acc=0.6178, val_loss=1.1225017626457134
Epoch 13/40 - loss=1.2218, val_acc=0.6130, val_loss=1.125510458139855
Epoch 14/40 - loss=1.2129, val_acc=0.6170, val_loss=1.1191080867157908
Epoch 15/40 - loss=1.2145, val_acc=0.6218, val_loss=1.106932579006989
Epoch 16/40 - loss=1.2059, val_acc=0.6253, val_loss=1.1078458705076852
Epoch 17/40 - loss=1.1992, val_acc=0.6277, val_loss=1.0960705440629996
Epoch 18/40 - loss=1.1939, val_acc=0.6268, val_loss=1.088629399111207
Epoch 19/40 - loss=1.1905, val_acc=0.6340, val_loss=1.0839744395332913
Epoch 20/40 - loss=1.1830, val_acc=0.6277, val_loss=1.0866568646081485
Epoch 21/40 - loss=1.1846, val_acc=0.6260, val_loss=1.0953973134092447
Epoch 22/40 - loss=1.1817, val_acc=0.6328, val_loss=1.07867791717828
Epoch 23/40 - loss=1.1816, val_acc=0.6357, val_loss=1.0766259350712293
Epoch 24/40 - loss=1.1835, val_acc=0.6323, val_loss=1.0769299467258815
Epoch 25/40 - loss=1.1834, val_acc=0.6272, val_loss=1.071909003061845
Epoch 26/40 - loss=1.1768, val_acc=0.6288, val_loss=1.076408329969671
Epoch 27/40 - loss=1.1770, val_acc=0.6313, val_loss=1.076069119844306
Epoch 28/40 - loss=1.1783, val_acc=0.6343, val_loss=1.0726017766868206
Epoch 29/40 - loss=1.1788, val_acc=0.6313, val_loss=1.0731600838861304
Epoch 30/40 - loss=1.1828, val_acc=0.6217, val_loss=1.0830388626167333
Epoch 31/40 - loss=1.1810, val_acc=0.6325, val_loss=1.0729983753591281
Epoch 32/40 - loss=1.1794, val_acc=0.6128, val_loss=1.1035063991140701
Epoch 33/40 - loss=1.1790, val_acc=0.6365, val_loss=1.071135147078986
Epoch 34/40 - loss=1.1701, val_acc=0.6302, val_loss=1.067832852886879
Epoch 35/40 - loss=1.1672, val_acc=0.6255, val_loss=1.0759824575929737
Epoch 36/40 - loss=1.1627, val_acc=0.6390, val_loss=1.0644019088456433
Epoch 37/40 - loss=1.1613, val_acc=0.6412, val_loss=1.0514903633273143
Epoch 38/40 - loss=1.1588, val_acc=0.6388, val_loss=1.0580888456778894
Epoch 39/40 - loss=1.1654, val_acc=0.6253, val_loss=1.0748629853990899
Epoch 40/40 - loss=1.1683, val_acc=0.6310, val_loss=1.070947698519989
test accuracy  0.6246
