Epoch 1/40 - loss=0.8143, val_acc=0.8007, val_loss=0.6578417778094816
Epoch 2/40 - loss=0.7039, val_acc=0.8313, val_loss=0.5707090480612114
Epoch 3/40 - loss=0.6469, val_acc=0.8333, val_loss=0.5460376574353979
Epoch 4/40 - loss=0.6166, val_acc=0.8363, val_loss=0.5362437106396553
Epoch 5/40 - loss=0.6042, val_acc=0.8435, val_loss=0.5185738638026858
Epoch 6/40 - loss=0.5893, val_acc=0.8452, val_loss=0.5116543465669534
Epoch 7/40 - loss=0.5829, val_acc=0.8538, val_loss=0.49526614433290894
Epoch 8/40 - loss=0.5872, val_acc=0.8520, val_loss=0.5042923144816773
Epoch 9/40 - loss=0.5866, val_acc=0.8492, val_loss=0.5090516213985649
Epoch 10/40 - loss=0.5780, val_acc=0.8538, val_loss=0.5045241962908373
Epoch 11/40 - loss=0.5908, val_acc=0.8530, val_loss=0.5105606246572604
Epoch 12/40 - loss=0.5912, val_acc=0.8500, val_loss=0.5082037778656245
Epoch 13/40 - loss=0.5856, val_acc=0.8492, val_loss=0.5216642706768606
Epoch 14/40 - loss=0.5899, val_acc=0.8553, val_loss=0.5106467170721346
Epoch 15/40 - loss=0.5880, val_acc=0.8505, val_loss=0.5213937961227414
Epoch 16/40 - loss=0.5997, val_acc=0.8543, val_loss=0.5199775536761555
Epoch 17/40 - loss=0.5974, val_acc=0.8577, val_loss=0.5323077699940268
Epoch 18/40 - loss=0.6085, val_acc=0.8535, val_loss=0.537661324256451
Epoch 19/40 - loss=0.6158, val_acc=0.8467, val_loss=0.5684361613590423
Epoch 20/40 - loss=0.6236, val_acc=0.8563, val_loss=0.5598377963167585
Epoch 21/40 - loss=0.6371, val_acc=0.8548, val_loss=0.5772366885703833
Epoch 22/40 - loss=0.6438, val_acc=0.8563, val_loss=0.5828439922835482
Epoch 23/40 - loss=0.6554, val_acc=0.8585, val_loss=0.5974901666370789
Epoch 24/40 - loss=0.6743, val_acc=0.8603, val_loss=0.6075053580071585
Epoch 25/40 - loss=0.6867, val_acc=0.8580, val_loss=0.6256459849248917
Epoch 26/40 - loss=0.7118, val_acc=0.8613, val_loss=0.6497528729768683
Epoch 27/40 - loss=0.7324, val_acc=0.8608, val_loss=0.6703281534234469
Epoch 28/40 - loss=0.7478, val_acc=0.8622, val_loss=0.6930378471672889
Epoch 29/40 - loss=0.7814, val_acc=0.8540, val_loss=0.7406792433304004
Epoch 30/40 - loss=0.8061, val_acc=0.8628, val_loss=0.7578625455693075
Epoch 31/40 - loss=0.8435, val_acc=0.8637, val_loss=0.7902710823111653
Epoch 32/40 - loss=0.8878, val_acc=0.8615, val_loss=0.8387757165271279
Epoch 33/40 - loss=0.9298, val_acc=0.8643, val_loss=0.8844863129439493
Epoch 34/40 - loss=0.9804, val_acc=0.8597, val_loss=0.9437201982000429
Epoch 35/40 - loss=1.0318, val_acc=0.8615, val_loss=0.9897985485727883
Epoch 36/40 - loss=1.0932, val_acc=0.8663, val_loss=1.0541879068020394
Epoch 37/40 - loss=1.1577, val_acc=0.8563, val_loss=1.1334707158714221
Epoch 38/40 - loss=1.2267, val_acc=0.8602, val_loss=1.2020683775508116
Epoch 39/40 - loss=1.3028, val_acc=0.8633, val_loss=1.2737828739841905
Epoch 40/40 - loss=1.3895, val_acc=0.8652, val_loss=1.3617491110064348
test accuracy  0.8559
