Epoch 1/40 - loss=0.2587, val_acc=0.7482, val_loss=0.1846488925742392
Epoch 2/40 - loss=0.1804, val_acc=0.7805, val_loss=0.16172443007180073
Epoch 3/40 - loss=0.1654, val_acc=0.7947, val_loss=0.15134975340175594
Epoch 4/40 - loss=0.1586, val_acc=0.8010, val_loss=0.14654837944927854
Epoch 5/40 - loss=0.1567, val_acc=0.8047, val_loss=0.1463250336779106
Epoch 6/40 - loss=0.1587, val_acc=0.8012, val_loss=0.15216145306628767
Epoch 7/40 - loss=0.1674, val_acc=0.7847, val_loss=0.16459946127118172
Epoch 8/40 - loss=0.1808, val_acc=0.7637, val_loss=0.17954966372865847
Epoch 9/40 - loss=0.1953, val_acc=0.7353, val_loss=0.1944493016806814
Epoch 10/40 - loss=0.2103, val_acc=0.6912, val_loss=0.20703724143183252
Epoch 11/40 - loss=0.2236, val_acc=0.6627, val_loss=0.21896698106503937
Epoch 12/40 - loss=0.2360, val_acc=0.6430, val_loss=0.23005759670960893
Epoch 13/40 - loss=0.2470, val_acc=0.6212, val_loss=0.23954056794981163
Epoch 14/40 - loss=0.2570, val_acc=0.6065, val_loss=0.24929321967248197
Epoch 15/40 - loss=0.2669, val_acc=0.5912, val_loss=0.25802823198068153
Epoch 16/40 - loss=0.2742, val_acc=0.5783, val_loss=0.2647532447883011
Epoch 17/40 - loss=0.2810, val_acc=0.5635, val_loss=0.2715919494641602
Epoch 18/40 - loss=0.2869, val_acc=0.5512, val_loss=0.2780916671154579
Epoch 19/40 - loss=0.2941, val_acc=0.5348, val_loss=0.28465512188628594
Epoch 20/40 - loss=0.2997, val_acc=0.5208, val_loss=0.2930459762021245
Epoch 21/40 - loss=0.3053, val_acc=0.5060, val_loss=0.2974405739346766
Epoch 22/40 - loss=0.3103, val_acc=0.4978, val_loss=0.301415505656714
Epoch 23/40 - loss=0.3143, val_acc=0.4878, val_loss=0.30605704534642414
Epoch 24/40 - loss=0.3177, val_acc=0.4733, val_loss=0.31017979400174106
Epoch 25/40 - loss=0.3210, val_acc=0.4663, val_loss=0.3133818396766687
Epoch 26/40 - loss=0.3236, val_acc=0.4588, val_loss=0.31662240074573494
Epoch 27/40 - loss=0.3260, val_acc=0.4613, val_loss=0.31668674732130014
Epoch 28/40 - loss=0.3270, val_acc=0.4533, val_loss=0.318975742456904
Epoch 29/40 - loss=0.3290, val_acc=0.4515, val_loss=0.3201468991550793
Epoch 30/40 - loss=0.3309, val_acc=0.4498, val_loss=0.3218062119849394
Epoch 31/40 - loss=0.3311, val_acc=0.4383, val_loss=0.32401722821956674
Epoch 32/40 - loss=0.3332, val_acc=0.4358, val_loss=0.32513900269418466
Epoch 33/40 - loss=0.3339, val_acc=0.4338, val_loss=0.3275059276792365
Epoch 34/40 - loss=0.3360, val_acc=0.4307, val_loss=0.32812754223741014
Epoch 35/40 - loss=0.3371, val_acc=0.4280, val_loss=0.32850968319409535
Epoch 36/40 - loss=0.3381, val_acc=0.4230, val_loss=0.33020606404013164
Epoch 37/40 - loss=0.3395, val_acc=0.4252, val_loss=0.3303409660460922
Epoch 38/40 - loss=0.3400, val_acc=0.4225, val_loss=0.3323732836115529
Epoch 39/40 - loss=0.3412, val_acc=0.4228, val_loss=0.33280694954360773
Epoch 40/40 - loss=0.3427, val_acc=0.4192, val_loss=0.33337705952435676
test accuracy  0.4137
