Epoch 1/30 - loss=0.8425, val_acc=0.8328, val_loss=0.7253452507421226
Epoch 2/30 - loss=0.7986, val_acc=0.8293, val_loss=0.7511860418794982
Epoch 3/30 - loss=0.7616, val_acc=0.8455, val_loss=0.6965924913171481
Epoch 4/30 - loss=0.7079, val_acc=0.8568, val_loss=0.6605136754015836
Epoch 5/30 - loss=0.6932, val_acc=0.8492, val_loss=0.6727716713003804
Epoch 6/30 - loss=0.6898, val_acc=0.8545, val_loss=0.6512332226145753
Epoch 7/30 - loss=0.6538, val_acc=0.8672, val_loss=0.619182642867462
Epoch 8/30 - loss=0.6270, val_acc=0.8728, val_loss=0.6071343075998324
Epoch 9/30 - loss=0.6045, val_acc=0.8705, val_loss=0.597646239623822
Epoch 10/30 - loss=0.5917, val_acc=0.8740, val_loss=0.5897108803876833
Epoch 11/30 - loss=0.5823, val_acc=0.8737, val_loss=0.5866580615020849
Epoch 12/30 - loss=0.5715, val_acc=0.8792, val_loss=0.5785248498619734
Epoch 13/30 - loss=0.5671, val_acc=0.8772, val_loss=0.5805598257736111
Epoch 14/30 - loss=0.5626, val_acc=0.8768, val_loss=0.581004012947492
Epoch 15/30 - loss=0.5639, val_acc=0.8793, val_loss=0.5746047332455796
Epoch 16/30 - loss=0.5670, val_acc=0.8792, val_loss=0.5798071707656447
Epoch 17/30 - loss=0.5621, val_acc=0.8773, val_loss=0.5841322597061473
Epoch 18/30 - loss=0.5634, val_acc=0.8802, val_loss=0.5780397546417262
Epoch 19/30 - loss=0.5778, val_acc=0.8795, val_loss=0.5854612318570911
Epoch 20/30 - loss=0.5715, val_acc=0.8807, val_loss=0.571874460986795
Epoch 21/30 - loss=0.5585, val_acc=0.8837, val_loss=0.5658075531346403
Epoch 22/30 - loss=0.5475, val_acc=0.8860, val_loss=0.5624648524690918
Epoch 23/30 - loss=0.5452, val_acc=0.8840, val_loss=0.5656011833619523
Epoch 24/30 - loss=0.5385, val_acc=0.8852, val_loss=0.5565657270649536
Epoch 25/30 - loss=0.5355, val_acc=0.8830, val_loss=0.5620217756145656
Epoch 26/30 - loss=0.5325, val_acc=0.8848, val_loss=0.5642908705278459
Epoch 27/30 - loss=0.5311, val_acc=0.8878, val_loss=0.5525879117019779
Epoch 28/30 - loss=0.5256, val_acc=0.8865, val_loss=0.5633452044678813
Epoch 29/30 - loss=0.5273, val_acc=0.8878, val_loss=0.5613532755329567
Epoch 30/30 - loss=0.5258, val_acc=0.8840, val_loss=0.5653876872088369
test accuracy  0.8809
