Epoch 1/30 - loss=0.3015, val_acc=0.7068, val_loss=0.21968411648851255
Epoch 2/30 - loss=0.2021, val_acc=0.7443, val_loss=0.18477137867211665
Epoch 3/30 - loss=0.1803, val_acc=0.7615, val_loss=0.17103291504689985
Epoch 4/30 - loss=0.1694, val_acc=0.7715, val_loss=0.1622175359691721
Epoch 5/30 - loss=0.1624, val_acc=0.7777, val_loss=0.15607007702338688
Epoch 6/30 - loss=0.1556, val_acc=0.7867, val_loss=0.15153037588054888
Epoch 7/30 - loss=0.1517, val_acc=0.7920, val_loss=0.1476458877812153
Epoch 8/30 - loss=0.1488, val_acc=0.7968, val_loss=0.1442773363888814
Epoch 9/30 - loss=0.1452, val_acc=0.8003, val_loss=0.14164021124753068
Epoch 10/30 - loss=0.1426, val_acc=0.8033, val_loss=0.13926774289381866
Epoch 11/30 - loss=0.1399, val_acc=0.8043, val_loss=0.137169202078526
Epoch 12/30 - loss=0.1389, val_acc=0.8070, val_loss=0.1352980936832567
Epoch 13/30 - loss=0.1364, val_acc=0.8102, val_loss=0.13357053294768254
Epoch 14/30 - loss=0.1347, val_acc=0.8103, val_loss=0.13227175101000177
Epoch 15/30 - loss=0.1329, val_acc=0.8117, val_loss=0.13081804305494069
Epoch 16/30 - loss=0.1324, val_acc=0.8138, val_loss=0.12975405291242934
Epoch 17/30 - loss=0.1312, val_acc=0.8163, val_loss=0.1285836774699141
Epoch 18/30 - loss=0.1299, val_acc=0.8173, val_loss=0.127687501083662
Epoch 19/30 - loss=0.1286, val_acc=0.8197, val_loss=0.1270211001567522
Epoch 20/30 - loss=0.1282, val_acc=0.8210, val_loss=0.12611084151448812
Epoch 21/30 - loss=0.1280, val_acc=0.8230, val_loss=0.12544394488207827
Epoch 22/30 - loss=0.1272, val_acc=0.8228, val_loss=0.12513170327353126
Epoch 23/30 - loss=0.1273, val_acc=0.8233, val_loss=0.12444903526608728
Epoch 24/30 - loss=0.1259, val_acc=0.8260, val_loss=0.1240748856767899
Epoch 25/30 - loss=0.1263, val_acc=0.8253, val_loss=0.12377497745701006
Epoch 26/30 - loss=0.1251, val_acc=0.8243, val_loss=0.123516610529823
Epoch 27/30 - loss=0.1246, val_acc=0.8245, val_loss=0.12330912042177329
Epoch 28/30 - loss=0.1246, val_acc=0.8250, val_loss=0.12311892315452498
Epoch 29/30 - loss=0.1237, val_acc=0.8257, val_loss=0.12311773952475669
Epoch 30/30 - loss=0.1248, val_acc=0.8270, val_loss=0.1231480482502729
test accuracy  0.8224
