Epoch 1/30 - loss=16.1782, val_acc=0.3082, val_loss=42.50455640513862
Epoch 2/30 - loss=85.6983, val_acc=0.3058, val_loss=134.62664463453933
Epoch 3/30 - loss=205.8486, val_acc=0.2962, val_loss=288.29670846554313
Epoch 4/30 - loss=394.8776, val_acc=0.3178, val_loss=505.74326271737647
Epoch 5/30 - loss=615.2971, val_acc=0.3153, val_loss=723.5417985836602
Epoch 6/30 - loss=861.6732, val_acc=0.2912, val_loss=1012.0461489785667
Epoch 7/30 - loss=1152.3649, val_acc=0.3093, val_loss=1294.7299439782962
Epoch 8/30 - loss=1447.7695, val_acc=0.2943, val_loss=1600.981734883828
Epoch 9/30 - loss=1782.2596, val_acc=0.3073, val_loss=1985.2039301414748
Epoch 10/30 - loss=2171.2966, val_acc=0.2963, val_loss=2348.7281439625503
Epoch 11/30 - loss=2548.6811, val_acc=0.2700, val_loss=2758.407055508706
Epoch 12/30 - loss=3015.1333, val_acc=0.2812, val_loss=3271.364884763049
Epoch 13/30 - loss=3508.2780, val_acc=0.2875, val_loss=3766.6293401301755
Epoch 14/30 - loss=4039.5063, val_acc=0.2670, val_loss=4311.503002484175
Epoch 15/30 - loss=4579.5034, val_acc=0.2648, val_loss=4857.958464186229
Epoch 16/30 - loss=5176.2873, val_acc=0.2732, val_loss=5500.35347805942
Epoch 17/30 - loss=5839.3336, val_acc=0.2757, val_loss=6186.328079438313
Epoch 18/30 - loss=6533.4992, val_acc=0.2782, val_loss=6909.764336923027
Epoch 19/30 - loss=7307.4210, val_acc=0.2675, val_loss=7715.866927823061
Epoch 20/30 - loss=8128.0016, val_acc=0.2927, val_loss=8500.637571491037
Epoch 21/30 - loss=8925.2184, val_acc=0.2662, val_loss=9363.595224713452
Epoch 22/30 - loss=9775.2923, val_acc=0.2857, val_loss=10201.345027118325
Epoch 23/30 - loss=10618.5780, val_acc=0.2913, val_loss=11012.60440820587
Epoch 24/30 - loss=11419.3474, val_acc=0.2847, val_loss=11863.278259089051
Epoch 25/30 - loss=12265.8638, val_acc=0.2965, val_loss=12643.22245308064
Epoch 26/30 - loss=13048.1638, val_acc=0.2713, val_loss=13433.554816211392
Epoch 27/30 - loss=13841.7674, val_acc=0.3173, val_loss=14282.62613190811
Epoch 28/30 - loss=14685.4429, val_acc=0.2648, val_loss=15079.587734325976
Epoch 29/30 - loss=15472.7841, val_acc=0.2805, val_loss=15885.166793480897
Epoch 30/30 - loss=16291.7044, val_acc=0.2797, val_loss=16726.400291011243
test accuracy  0.2714
