Epoch 1/30 - loss=0.4053, val_acc=0.2570, val_loss=0.40117848651083304
Epoch 2/30 - loss=0.3999, val_acc=0.2672, val_loss=0.3952507980949273
Epoch 3/30 - loss=0.3955, val_acc=0.2767, val_loss=0.38978173150965345
Epoch 4/30 - loss=0.3916, val_acc=0.2990, val_loss=0.3822899754988357
Epoch 5/30 - loss=0.3862, val_acc=0.3458, val_loss=0.3736029813770351
Epoch 6/30 - loss=0.3769, val_acc=0.3753, val_loss=0.35992416183259546
Epoch 7/30 - loss=0.3661, val_acc=0.4297, val_loss=0.3471905427939411
Epoch 8/30 - loss=0.3553, val_acc=0.4403, val_loss=0.3372100231349215
Epoch 9/30 - loss=0.3483, val_acc=0.4553, val_loss=0.32673823716324873
Epoch 10/30 - loss=0.3424, val_acc=0.4653, val_loss=0.3252592009240199
Epoch 11/30 - loss=0.3371, val_acc=0.4378, val_loss=0.31784527245910027
Epoch 12/30 - loss=0.3375, val_acc=0.4710, val_loss=0.3148459111208301
Epoch 13/30 - loss=0.3343, val_acc=0.4702, val_loss=0.31388745321894407
Epoch 14/30 - loss=0.3322, val_acc=0.4752, val_loss=0.31044369369903674
Epoch 15/30 - loss=0.3294, val_acc=0.4785, val_loss=0.30840933440627016
Epoch 16/30 - loss=0.3296, val_acc=0.4727, val_loss=0.30733969381606074
Epoch 17/30 - loss=0.3299, val_acc=0.4638, val_loss=0.3079472268692011
Epoch 18/30 - loss=0.3281, val_acc=0.4908, val_loss=0.30444389798848376
Epoch 19/30 - loss=0.3261, val_acc=0.4812, val_loss=0.30930216158724155
Epoch 20/30 - loss=0.3251, val_acc=0.4970, val_loss=0.3086609180994819
Epoch 21/30 - loss=0.3246, val_acc=0.4802, val_loss=0.3047871502642227
Epoch 22/30 - loss=0.3250, val_acc=0.5050, val_loss=0.30264289151488344
Epoch 23/30 - loss=0.3245, val_acc=0.4990, val_loss=0.30349126956425404
Epoch 24/30 - loss=0.3232, val_acc=0.4978, val_loss=0.3007619382529161
Epoch 25/30 - loss=0.3247, val_acc=0.5070, val_loss=0.30010438930579536
Epoch 26/30 - loss=0.3231, val_acc=0.4577, val_loss=0.3061667672197492
Epoch 27/30 - loss=0.3235, val_acc=0.4805, val_loss=0.30109151286463276
Epoch 28/30 - loss=0.3240, val_acc=0.4938, val_loss=0.3011149864431831
Epoch 29/30 - loss=0.3229, val_acc=0.4850, val_loss=0.3028472084429994
Epoch 30/30 - loss=0.3222, val_acc=0.4968, val_loss=0.30354881672050227
test accuracy  0.4873
