Epoch 1/10 - loss=1.6906, val_acc=0.6823, val_loss=0.9048527284554221
Epoch 2/10 - loss=0.9201, val_acc=0.7538, val_loss=0.6892007252587247
Epoch 3/10 - loss=0.7928, val_acc=0.7907, val_loss=0.6004321967752192
Epoch 4/10 - loss=0.7314, val_acc=0.8097, val_loss=0.5544426119523772
Epoch 5/10 - loss=0.6948, val_acc=0.8142, val_loss=0.5367966445109027
Epoch 6/10 - loss=0.6701, val_acc=0.8202, val_loss=0.5019612522504148
Epoch 7/10 - loss=0.6502, val_acc=0.8268, val_loss=0.4903386301804005
Epoch 8/10 - loss=0.6349, val_acc=0.8333, val_loss=0.47504550103156346
Epoch 9/10 - loss=0.6222, val_acc=0.8348, val_loss=0.46388152454563153
Epoch 10/10 - loss=0.6111, val_acc=0.8340, val_loss=0.4662693691200872
test accuracy  0.8249
