Epoch 1/10 - loss=2.3069, val_acc=0.0977, val_loss=2.3039294933728303
Epoch 2/10 - loss=2.3041, val_acc=0.1145, val_loss=2.3036475947900055
Epoch 3/10 - loss=2.3041, val_acc=0.0977, val_loss=2.3040859922048162
Epoch 4/10 - loss=2.3041, val_acc=0.0985, val_loss=2.302757747155341
Epoch 5/10 - loss=2.3041, val_acc=0.1023, val_loss=2.3030441769201704
Epoch 6/10 - loss=2.3040, val_acc=0.0985, val_loss=2.3032501931688043
Epoch 7/10 - loss=2.3039, val_acc=0.1000, val_loss=2.3035614843626755
Epoch 8/10 - loss=2.3039, val_acc=0.0977, val_loss=2.3051427433363156
Epoch 9/10 - loss=2.3038, val_acc=0.1000, val_loss=2.303022491236831
Epoch 10/10 - loss=2.3038, val_acc=0.0995, val_loss=2.3036126237574437
test accuracy  0.1
