Epoch 1/10 - loss=0.5110, val_acc=0.8445, val_loss=0.41731685878230323
Epoch 2/10 - loss=0.3877, val_acc=0.8582, val_loss=0.4026808516989839
Epoch 3/10 - loss=0.3543, val_acc=0.8688, val_loss=0.3576988630079578
Epoch 4/10 - loss=0.3370, val_acc=0.8590, val_loss=0.3982048896122742
Epoch 5/10 - loss=0.3188, val_acc=0.8745, val_loss=0.3381999577785887
Epoch 6/10 - loss=0.3059, val_acc=0.8737, val_loss=0.3341030155522551
Epoch 7/10 - loss=0.2964, val_acc=0.8718, val_loss=0.34447520389734365
Epoch 8/10 - loss=0.2848, val_acc=0.8815, val_loss=0.32981068640999844
Epoch 9/10 - loss=0.2774, val_acc=0.8793, val_loss=0.33755768932031066
Epoch 10/10 - loss=0.2727, val_acc=0.8813, val_loss=0.34274082961877667
test accuracy  0.8747
