Epoch 1/10 - loss=1.8599, val_acc=0.6513, val_loss=1.1987273039564865
Epoch 2/10 - loss=1.2025, val_acc=0.7112, val_loss=0.9021251713397124
Epoch 3/10 - loss=1.0153, val_acc=0.7480, val_loss=0.7824109813660479
Epoch 4/10 - loss=0.9231, val_acc=0.7665, val_loss=0.7115170394301333
Epoch 5/10 - loss=0.8639, val_acc=0.7787, val_loss=0.6632367558781346
Epoch 6/10 - loss=0.8228, val_acc=0.7938, val_loss=0.6273316985588631
Epoch 7/10 - loss=0.7915, val_acc=0.7975, val_loss=0.6018952852474583
Epoch 8/10 - loss=0.7678, val_acc=0.8017, val_loss=0.578607197903012
Epoch 9/10 - loss=0.7487, val_acc=0.8050, val_loss=0.5623222930651237
Epoch 10/10 - loss=0.7330, val_acc=0.8105, val_loss=0.5480784291519131
test accuracy  0.8047
