Epoch 1/10 - loss=0.7026, val_acc=0.8180, val_loss=0.508315750043568
Epoch 2/10 - loss=0.4560, val_acc=0.8465, val_loss=0.43375187156670525
Epoch 3/10 - loss=0.4096, val_acc=0.8480, val_loss=0.41586965491770206
Epoch 4/10 - loss=0.3787, val_acc=0.8563, val_loss=0.3794809978940059
Epoch 5/10 - loss=0.3566, val_acc=0.8663, val_loss=0.36566807975099647
Epoch 6/10 - loss=0.3398, val_acc=0.8697, val_loss=0.35057483950521356
Epoch 7/10 - loss=0.3257, val_acc=0.8738, val_loss=0.34777300476303435
Epoch 8/10 - loss=0.3150, val_acc=0.8755, val_loss=0.34171287501286696
Epoch 9/10 - loss=0.3055, val_acc=0.8770, val_loss=0.3292644956300795
Epoch 10/10 - loss=0.2956, val_acc=0.8735, val_loss=0.3481889219222678
test accuracy  0.8657
