Epoch 1/10 - loss=0.7551, val_acc=0.8255, val_loss=0.47672989789171677
Epoch 2/10 - loss=0.5300, val_acc=0.8517, val_loss=0.40880270868574053
Epoch 3/10 - loss=0.4919, val_acc=0.8510, val_loss=0.4145312046348821
Epoch 4/10 - loss=0.4705, val_acc=0.8660, val_loss=0.3734965671285398
Epoch 5/10 - loss=0.4539, val_acc=0.8642, val_loss=0.3709481925641312
Epoch 6/10 - loss=0.4427, val_acc=0.8677, val_loss=0.3601828136426502
Epoch 7/10 - loss=0.4310, val_acc=0.8705, val_loss=0.3488026420651943
Epoch 8/10 - loss=0.4218, val_acc=0.8730, val_loss=0.3381843602211754
Epoch 9/10 - loss=0.4129, val_acc=0.8745, val_loss=0.3395534913113545
Epoch 10/10 - loss=0.4052, val_acc=0.8763, val_loss=0.3359064347333098
test accuracy  0.8679
