Epoch 1/10 - loss=0.8185, val_acc=0.8267, val_loss=0.4747185221942402
Epoch 2/10 - loss=0.6008, val_acc=0.8395, val_loss=0.4333648467520245
Epoch 3/10 - loss=0.5590, val_acc=0.8573, val_loss=0.39086682603332096
Epoch 4/10 - loss=0.5339, val_acc=0.8580, val_loss=0.3843805576452475
Epoch 5/10 - loss=0.5163, val_acc=0.8630, val_loss=0.36642308566661236
Epoch 6/10 - loss=0.5020, val_acc=0.8647, val_loss=0.3592140153546443
Epoch 7/10 - loss=0.4894, val_acc=0.8668, val_loss=0.3595176354774418
Epoch 8/10 - loss=0.4791, val_acc=0.8758, val_loss=0.3397706236734661
Epoch 9/10 - loss=0.4691, val_acc=0.8727, val_loss=0.35173497933937126
Epoch 10/10 - loss=0.4613, val_acc=0.8698, val_loss=0.3569104978669728
test accuracy  0.8638
