Epoch 1/10 - loss=2.6318, val_acc=0.0977, val_loss=2.3039547946335484
Epoch 2/10 - loss=2.6234, val_acc=0.1117, val_loss=2.303224197269155
Epoch 3/10 - loss=2.6203, val_acc=0.1048, val_loss=2.3033991266945484
Epoch 4/10 - loss=2.6174, val_acc=0.0985, val_loss=2.3015347061677742
Epoch 5/10 - loss=2.6143, val_acc=0.1023, val_loss=2.301502390590313
Epoch 6/10 - loss=2.6113, val_acc=0.0985, val_loss=2.3012897906382253
Epoch 7/10 - loss=2.6082, val_acc=0.1000, val_loss=2.301344041277508
Epoch 8/10 - loss=2.6053, val_acc=0.0977, val_loss=2.302602603113493
Epoch 9/10 - loss=2.6022, val_acc=0.1000, val_loss=2.299648232084021
Epoch 10/10 - loss=2.5991, val_acc=0.0995, val_loss=2.299741918303517
test accuracy  0.1
