Epoch 1/10 - loss=1.9528, val_acc=0.6222, val_loss=1.488868675506611
Epoch 2/10 - loss=1.1666, val_acc=0.6722, val_loss=0.9830985267945842
Epoch 3/10 - loss=0.8777, val_acc=0.7210, val_loss=0.8206761982659
Epoch 4/10 - loss=0.7572, val_acc=0.7480, val_loss=0.7337079165640624
Epoch 5/10 - loss=0.6847, val_acc=0.7715, val_loss=0.6750219800466328
Epoch 6/10 - loss=0.6344, val_acc=0.7873, val_loss=0.6317206085926708
Epoch 7/10 - loss=0.5955, val_acc=0.7930, val_loss=0.6009636843303932
Epoch 8/10 - loss=0.5665, val_acc=0.8027, val_loss=0.5715748720118036
Epoch 9/10 - loss=0.5437, val_acc=0.8087, val_loss=0.5534889757086299
Epoch 10/10 - loss=0.5257, val_acc=0.8100, val_loss=0.5404203970714132
test accuracy  0.8052
