Epoch 1/10 - loss=0.6059, val_acc=0.8202, val_loss=0.46856034482426945
Epoch 2/10 - loss=0.4904, val_acc=0.8490, val_loss=0.39712311831084585
Epoch 3/10 - loss=0.4570, val_acc=0.8538, val_loss=0.3772954055090674
Epoch 4/10 - loss=0.4381, val_acc=0.8657, val_loss=0.37066047957976517
Epoch 5/10 - loss=0.4283, val_acc=0.8633, val_loss=0.3557609029300658
Epoch 6/10 - loss=0.4180, val_acc=0.8682, val_loss=0.36248216991948873
Epoch 7/10 - loss=0.4105, val_acc=0.8705, val_loss=0.35220066138708195
Epoch 8/10 - loss=0.4067, val_acc=0.8787, val_loss=0.32690916101117146
Epoch 9/10 - loss=0.4007, val_acc=0.8737, val_loss=0.3457578409822827
Epoch 10/10 - loss=0.3983, val_acc=0.8662, val_loss=0.3574558788491632
test accuracy  0.8586
