Epoch 1/10 - loss=0.8236, val_acc=0.8305, val_loss=0.4687227664188648
Epoch 2/10 - loss=0.5874, val_acc=0.8548, val_loss=0.4071550455764708
Epoch 3/10 - loss=0.5404, val_acc=0.8567, val_loss=0.4028818327447139
Epoch 4/10 - loss=0.5123, val_acc=0.8628, val_loss=0.37414192205179014
Epoch 5/10 - loss=0.4909, val_acc=0.8663, val_loss=0.3699844552227271
Epoch 6/10 - loss=0.4758, val_acc=0.8737, val_loss=0.347483146893112
Epoch 7/10 - loss=0.4614, val_acc=0.8775, val_loss=0.3383522034008145
Epoch 8/10 - loss=0.4504, val_acc=0.8800, val_loss=0.3320337075992654
Epoch 9/10 - loss=0.4376, val_acc=0.8790, val_loss=0.3294538043213297
Epoch 10/10 - loss=0.4284, val_acc=0.8812, val_loss=0.3258144191776602
test accuracy  0.8761
