Epoch 1/10 - loss=45.3385, val_acc=0.0977, val_loss=2.3065861077214893
Epoch 2/10 - loss=13.2579, val_acc=0.0985, val_loss=2.3030876323980247
Epoch 3/10 - loss=4.6072, val_acc=0.1012, val_loss=2.3027356068787497
Epoch 4/10 - loss=2.6406, val_acc=0.0995, val_loss=2.3028134202696977
Epoch 5/10 - loss=2.3274, val_acc=0.0995, val_loss=2.3027409489126622
Epoch 6/10 - loss=2.3044, val_acc=0.1000, val_loss=2.302717264944213
Epoch 7/10 - loss=2.3033, val_acc=0.1012, val_loss=2.3027971206067117
Epoch 8/10 - loss=2.3032, val_acc=0.1000, val_loss=2.302723224421464
Epoch 9/10 - loss=2.3033, val_acc=0.1012, val_loss=2.3026905624401897
Epoch 10/10 - loss=2.3032, val_acc=0.1012, val_loss=2.302597006468284
test accuracy  0.1
