Epoch 1/10 - loss=6.5903, val_acc=0.1013, val_loss=2.3026180571561143
Epoch 2/10 - loss=2.3027, val_acc=0.0995, val_loss=2.302600279265666
Epoch 3/10 - loss=2.3027, val_acc=0.1013, val_loss=2.302587833010286
Epoch 4/10 - loss=2.3027, val_acc=0.0995, val_loss=2.302667258322679
Epoch 5/10 - loss=2.3027, val_acc=0.1000, val_loss=2.3026166035653604
Epoch 6/10 - loss=2.3027, val_acc=0.1000, val_loss=2.302613467101041
Epoch 7/10 - loss=2.3027, val_acc=0.1000, val_loss=2.302624770816555
Epoch 8/10 - loss=2.3027, val_acc=0.0977, val_loss=2.302637847559093
Epoch 9/10 - loss=2.3027, val_acc=0.0977, val_loss=2.302664959590406
Epoch 10/10 - loss=2.3027, val_acc=0.0977, val_loss=2.3026100929296076
test accuracy  0.1
