Epoch 1/10 - loss=2.3157, val_acc=0.1000, val_loss=2.3032102331168187
Epoch 2/10 - loss=2.3032, val_acc=0.0995, val_loss=2.30239226423234
Epoch 3/10 - loss=2.3028, val_acc=0.1000, val_loss=2.3021379706424585
Epoch 4/10 - loss=2.3022, val_acc=0.0995, val_loss=2.302641309150897
Epoch 5/10 - loss=2.3018, val_acc=0.1123, val_loss=2.3013711621414865
Epoch 6/10 - loss=2.3013, val_acc=0.1950, val_loss=2.3003226623293855
Epoch 7/10 - loss=2.3002, val_acc=0.1750, val_loss=2.299456694578824
Epoch 8/10 - loss=2.2992, val_acc=0.1533, val_loss=2.298512923854352
Epoch 9/10 - loss=2.2973, val_acc=0.0985, val_loss=2.296373831078539
Epoch 10/10 - loss=2.2947, val_acc=0.2242, val_loss=2.2920642177376553
test accuracy  0.2223
