Epoch 1/10 - loss=20.4237, val_acc=0.0977, val_loss=2.3038956253465046
Epoch 2/10 - loss=4.9443, val_acc=0.1018, val_loss=2.3026870048973564
Epoch 3/10 - loss=2.5374, val_acc=0.1013, val_loss=2.302603441527706
Epoch 4/10 - loss=2.3103, val_acc=0.0995, val_loss=2.3027132212748396
Epoch 5/10 - loss=2.3031, val_acc=0.0995, val_loss=2.302761408026399
Epoch 6/10 - loss=2.3030, val_acc=0.1000, val_loss=2.3026505852481853
Epoch 7/10 - loss=2.3030, val_acc=0.1012, val_loss=2.302701723521713
Epoch 8/10 - loss=2.3029, val_acc=0.1000, val_loss=2.302728293275487
Epoch 9/10 - loss=2.3030, val_acc=0.1012, val_loss=2.302691117935975
Epoch 10/10 - loss=2.3029, val_acc=0.1012, val_loss=2.3025742490623555
test accuracy  0.1
