Epoch 1/10 - loss=47.2151, val_acc=0.0985, val_loss=2.3042188020521883
Epoch 2/10 - loss=21.5474, val_acc=0.1013, val_loss=2.302614923564291
Epoch 3/10 - loss=10.5523, val_acc=0.0977, val_loss=2.302651333806653
Epoch 4/10 - loss=5.8391, val_acc=0.0977, val_loss=2.3026271815029657
Epoch 5/10 - loss=3.8187, val_acc=0.0977, val_loss=2.30259878823933
Epoch 6/10 - loss=2.9526, val_acc=0.1013, val_loss=2.3025762006257895
Epoch 7/10 - loss=2.5813, val_acc=0.0977, val_loss=2.302611931004415
Epoch 8/10 - loss=2.4221, val_acc=0.0977, val_loss=2.3026153595544825
Epoch 9/10 - loss=2.3539, val_acc=0.1000, val_loss=2.302624077130353
Epoch 10/10 - loss=2.3246, val_acc=0.0995, val_loss=2.3026167583474475
test accuracy  0.1
