Epoch 1/10 - loss=7.5630, val_acc=0.1000, val_loss=2.3027340524116036
Epoch 2/10 - loss=2.3029, val_acc=0.1018, val_loss=2.3025894246413694
Epoch 3/10 - loss=2.3030, val_acc=0.0995, val_loss=2.302820816753907
Epoch 4/10 - loss=2.3036, val_acc=0.0977, val_loss=2.3027914770238787
Epoch 5/10 - loss=2.3032, val_acc=0.0977, val_loss=2.302806685213464
Epoch 6/10 - loss=2.3033, val_acc=0.1000, val_loss=2.302598155760871
Epoch 7/10 - loss=2.3032, val_acc=0.1023, val_loss=2.302591879423971
Epoch 8/10 - loss=2.3034, val_acc=0.1012, val_loss=2.3028602107363803
Epoch 9/10 - loss=2.3032, val_acc=0.1013, val_loss=2.302702958334325
Epoch 10/10 - loss=2.3037, val_acc=0.1012, val_loss=2.302725566439423
test accuracy  0.1
