Epoch 1/10 - loss=2.2288, val_acc=0.3778, val_loss=1.9911405872533832
Epoch 2/10 - loss=1.9310, val_acc=0.4217, val_loss=1.7200659380691274
Epoch 3/10 - loss=1.7082, val_acc=0.4922, val_loss=1.5416678876327108
Epoch 4/10 - loss=1.5590, val_acc=0.5377, val_loss=1.41727430328914
Epoch 5/10 - loss=1.4501, val_acc=0.5803, val_loss=1.3227709327220518
Epoch 6/10 - loss=1.3641, val_acc=0.6150, val_loss=1.2457277155680448
Epoch 7/10 - loss=1.2921, val_acc=0.6382, val_loss=1.1798364793776255
Epoch 8/10 - loss=1.2295, val_acc=0.6578, val_loss=1.1219463075108793
Epoch 9/10 - loss=1.1743, val_acc=0.6675, val_loss=1.0706189677865192
Epoch 10/10 - loss=1.1253, val_acc=0.6773, val_loss=1.0251635914069788
test accuracy  0.6653
