Epoch 1/10 - loss=5.4498, val_acc=0.0977, val_loss=2.3043287210230994
Epoch 2/10 - loss=2.3052, val_acc=0.1018, val_loss=2.3043737575755165
Epoch 3/10 - loss=2.3050, val_acc=0.0995, val_loss=2.3036382910221787
Epoch 4/10 - loss=2.3051, val_acc=0.1000, val_loss=2.30522624940216
Epoch 5/10 - loss=2.3052, val_acc=0.1018, val_loss=2.3033238929227045
Epoch 6/10 - loss=2.3051, val_acc=0.1000, val_loss=2.3054254362065936
Epoch 7/10 - loss=2.3051, val_acc=0.1013, val_loss=2.3043053326911354
Epoch 8/10 - loss=2.3050, val_acc=0.0977, val_loss=2.3036685283345206
Epoch 9/10 - loss=2.3049, val_acc=0.1023, val_loss=2.3032095048514476
Epoch 10/10 - loss=2.3049, val_acc=0.1023, val_loss=2.3056860445062553
test accuracy  0.1
