Epoch 1/10 - loss=7.3104, val_acc=0.0985, val_loss=2.3027454570739225
Epoch 2/10 - loss=2.3028, val_acc=0.0977, val_loss=2.30280253367773
Epoch 3/10 - loss=2.3028, val_acc=0.0985, val_loss=2.302727971180715
Epoch 4/10 - loss=2.3028, val_acc=0.1012, val_loss=2.3026462787851694
Epoch 5/10 - loss=2.3028, val_acc=0.1013, val_loss=2.3026195727900176
Epoch 6/10 - loss=2.3028, val_acc=0.0977, val_loss=2.302768664546158
Epoch 7/10 - loss=2.3028, val_acc=0.1023, val_loss=2.302560649941523
Epoch 8/10 - loss=2.3028, val_acc=0.0977, val_loss=2.3027035589164115
Epoch 9/10 - loss=2.3028, val_acc=0.0995, val_loss=2.3027527937781445
Epoch 10/10 - loss=2.3028, val_acc=0.0995, val_loss=2.3026284200631673
test accuracy  0.1
