Epoch 1/10 - loss=0.5350, val_acc=0.8523, val_loss=0.40554595971969326
Epoch 2/10 - loss=0.3858, val_acc=0.8620, val_loss=0.37537157510197994
Epoch 3/10 - loss=0.3492, val_acc=0.8738, val_loss=0.3513132357620887
Epoch 4/10 - loss=0.3263, val_acc=0.8772, val_loss=0.3361205580310741
Epoch 5/10 - loss=0.3082, val_acc=0.8783, val_loss=0.33079110783957305
Epoch 6/10 - loss=0.2954, val_acc=0.8782, val_loss=0.3273694844256333
Epoch 7/10 - loss=0.2825, val_acc=0.8783, val_loss=0.33282916234762633
Epoch 8/10 - loss=0.2727, val_acc=0.8848, val_loss=0.31310162076961257
Epoch 9/10 - loss=0.2620, val_acc=0.8832, val_loss=0.3224248582612757
Epoch 10/10 - loss=0.2550, val_acc=0.8852, val_loss=0.318010550639661
test accuracy  0.88
